workload_id,spatial_idx,cin_idx,phase,start_cycle,duration_cycles,end_cycle_exclusive,rule
gemm_001_op_00000,0,0,first_spatial_first_cin_startup,0,167,167,k1_group16_spatial_reuse_v8
gemm_001_op_00000,0,1,final_cin_output_store,167,56,223,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,0,first_spatial_first_cin_startup,0,167,167,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,1,middle_cin_accumulate,167,53,220,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,2,middle_cin_accumulate,220,53,273,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,3,middle_cin_accumulate,273,53,326,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,4,middle_cin_accumulate,326,53,379,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,5,middle_cin_accumulate,379,53,432,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,6,middle_cin_accumulate,432,53,485,k1_group16_spatial_reuse_v8
gemm_002_op_00001,0,7,final_cin_output_store,485,56,541,k1_group16_spatial_reuse_v8
conv_001_op_00002,0,0,k3_nonfinal_cin_accumulate,0,329,329,k3_group16_v7
conv_001_op_00002,0,1,k3_final_cin_output_store,329,332,661,k3_group16_v7
conv_001_op_00002,1,0,k3_nonfinal_cin_accumulate,661,329,990,k3_group16_v7
conv_001_op_00002,1,1,k3_final_cin_output_store,990,332,1322,k3_group16_v7
conv_001_op_00002,2,0,k3_nonfinal_cin_accumulate,1322,329,1651,k3_group16_v7
conv_001_op_00002,2,1,k3_final_cin_output_store,1651,332,1983,k3_group16_v7
conv_001_op_00002,3,0,k3_nonfinal_cin_accumulate,1983,329,2312,k3_group16_v7
conv_001_op_00002,3,1,k3_final_cin_output_store,2312,332,2644,k3_group16_v7
conv_001_op_00002,4,0,k3_nonfinal_cin_accumulate,2644,329,2973,k3_group16_v7
conv_001_op_00002,4,1,k3_final_cin_output_store,2973,332,3305,k3_group16_v7
conv_001_op_00002,5,0,k3_nonfinal_cin_accumulate,3305,329,3634,k3_group16_v7
conv_001_op_00002,5,1,k3_final_cin_output_store,3634,332,3966,k3_group16_v7
conv_001_op_00002,6,0,k3_nonfinal_cin_accumulate,3966,329,4295,k3_group16_v7
conv_001_op_00002,6,1,k3_final_cin_output_store,4295,332,4627,k3_group16_v7
conv_001_op_00002,7,0,k3_nonfinal_cin_accumulate,4627,329,4956,k3_group16_v7
conv_001_op_00002,7,1,k3_final_cin_output_store,4956,332,5288,k3_group16_v7
conv_001_op_00002,8,0,k3_nonfinal_cin_accumulate,5288,329,5617,k3_group16_v7
conv_001_op_00002,8,1,k3_final_cin_output_store,5617,332,5949,k3_group16_v7
conv_001_op_00002,9,0,k3_nonfinal_cin_accumulate,5949,329,6278,k3_group16_v7
conv_001_op_00002,9,1,k3_final_cin_output_store,6278,332,6610,k3_group16_v7
conv_001_op_00002,10,0,k3_nonfinal_cin_accumulate,6610,329,6939,k3_group16_v7
conv_001_op_00002,10,1,k3_final_cin_output_store,6939,332,7271,k3_group16_v7
