mechanism,file_status,category,relative_path,source_path,base_path,bytes,keyword_hits,sim_hook,paper_use_policy
mactree,added,docs,AXI_Integration_Guide.md,mactree\flood\AXI_Integration_Guide.md,,8635,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,AXI_Note.md,mactree\flood\AXI_Note.md,,10258,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,Git上传步骤.md,mactree\flood\Git上传步骤.md,,1549,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,MacMachine使用说明文档.md,mactree\flood\MacMachine使用说明文档.md,,7786,group,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,OutputBuffer使用说明文档.md,mactree\flood\OutputBuffer使用说明文档.md,,10496,group,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,QuantizationModule使用说明.md,mactree\flood\QuantizationModule使用说明.md,,7437,int8;zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,README.md,mactree\flood\README.md,,45719,group;mactree,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,software_or_generator,build.sbt,mactree\flood\build.sbt,,335,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/apb_test/README.md,mactree\flood\c\apb_test\README.md,FLOOD\c\apb_test\README.md,3888,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/apb_test/main.c,mactree\flood\c\apb_test\main.c,FLOOD\c\apb_test\main.c,6271,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/apb_test/main_burst_write_read.c,mactree\flood\c\apb_test\main_burst_write_read.c,FLOOD\c\apb_test\main_burst_write_read.c,4487,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/DEBUG_STEPS.md,mactree\flood\c\axi_test\DEBUG_STEPS.md,FLOOD\c\axi_test\DEBUG_STEPS.md,7509,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/FIX_VERILOG_FORMAT.md,mactree\flood\c\axi_test\FIX_VERILOG_FORMAT.md,FLOOD\c\axi_test\FIX_VERILOG_FORMAT.md,3656,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/JALR_JUMP_ISSUE.md,mactree\flood\c\axi_test\JALR_JUMP_ISSUE.md,FLOOD\c\axi_test\JALR_JUMP_ISSUE.md,3642,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/PC_STUCK_ANALYSIS.md,mactree\flood\c\axi_test\PC_STUCK_ANALYSIS.md,FLOOD\c\axi_test\PC_STUCK_ANALYSIS.md,4792,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/README.md,mactree\flood\c\axi_test\README.md,FLOOD\c\axi_test\README.md,3888,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/dma_s1-4.c,mactree\flood\c\axi_test\dma_s1-4.c,FLOOD\c\axi_test\dma_s1-4.c,17786,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/dma_uart.c,mactree\flood\c\axi_test\dma_uart.c,FLOOD\c\axi_test\dma_uart.c,8888,int8,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/features_array.txt,mactree\flood\c\axi_test\features_array.txt,FLOOD\c\axi_test\features_array.txt,397517,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/hex_to_array.c,mactree\flood\c\axi_test\hex_to_array.c,FLOOD\c\axi_test\hex_to_array.c,3811,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/init_phase.c,mactree\flood\c\axi_test\init_phase.c,FLOOD\c\axi_test\init_phase.c,5515,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/mac_asic_tb.c,mactree\flood\c\axi_test\mac_asic_tb.c,FLOOD\c\axi_test\mac_asic_tb.c,10968,group;int8,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/mac_asic_test.c,mactree\flood\c\axi_test\mac_asic_test.c,FLOOD\c\axi_test\mac_asic_test.c,22510,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/mac_connect_test.c,mactree\flood\c\axi_test\mac_connect_test.c,FLOOD\c\axi_test\mac_connect_test.c,17972,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/mac_test_tb2.c,mactree\flood\c\axi_test\mac_test_tb2.c,FLOOD\c\axi_test\mac_test_tb2.c,446158,group,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/main.c,mactree\flood\c\axi_test\main.c,FLOOD\c\axi_test\main.c,21693,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/main_burst_write_read.c,mactree\flood\c\axi_test\main_burst_write_read.c,FLOOD\c\axi_test\main_burst_write_read.c,4505,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/main_dma.c,mactree\flood\c\axi_test\main_dma.c,FLOOD\c\axi_test\main_dma.c,9173,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/axi_test/weights_array.txt,mactree\flood\c\axi_test\weights_array.txt,FLOOD\c\axi_test\weights_array.txt,14321,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,software_or_generator,c/main_debug_detailed.c,mactree\flood\c\main_debug_detailed.c,FLOOD\c\main_debug_detailed.c,1310,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/uart_test/README.md,mactree\flood\c\uart_test\README.md,FLOOD\c\uart_test\README.md,3888,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,testbench_or_test,c/uart_test/uart_test.c,mactree\flood\c\uart_test\uart_test.c,FLOOD\c\uart_test\uart_test.c,7597,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,docs,doc/requirements.txt,mactree\flood\doc\requirements.txt,FLOOD\doc\requirements.txt,106,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,software_or_generator,doc/source/conf.py,mactree\flood\doc\source\conf.py,FLOOD\doc\source\conf.py,3617,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,data,features.csv,mactree\flood\features.csv,,1219,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,docs,fpga/AXKU15/AXKU15_V1.2_UG_final.md,mactree\flood\fpga\AXKU15\AXKU15_V1.2_UG_final.md,FLOOD\fpga\AXKU15\AXKU15_V1.2_UG_final.md,72764,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,fpga/AXKU15/src/divclk.v,mactree\flood\fpga\AXKU15\src\divclk.v,FLOOD\fpga\AXKU15\src\divclk.v,1448,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,fpga/AXKU15/src/system.v,mactree\flood\fpga\AXKU15\src\system.v,FLOOD\fpga\AXKU15\src\system.v,12808,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,docs,fpga/README.md,mactree\flood\fpga\README.md,FLOOD\fpga\README.md,273,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,fpga/ddr200t/src/system.v,mactree\flood\fpga\ddr200t\src\system.v,FLOOD\fpga\ddr200t\src\system.v,9353,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,fpga/mcu200t/src/system.v,mactree\flood\fpga\mcu200t\src\system.v,FLOOD\fpga\mcu200t\src\system.v,9353,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,maxunit说明文档.md,mactree\flood\maxunit说明文档.md,,14196,group,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,docs,note.md,mactree\flood\note.md,,80644,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,software_or_generator,project/metals.sbt,mactree\flood\project\metals.sbt,,193,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,added,software_or_generator,project/project/metals.sbt,mactree\flood\project\project\metals.sbt,,193,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/config.v,mactree\flood\rtl\e203\core\config.v,FLOOD\rtl\e203\core\config.v,3756,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_biu.v,mactree\flood\rtl\e203\core\e203_biu.v,FLOOD\rtl\e203\core\e203_biu.v,40267,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_clk_ctrl.v,mactree\flood\rtl\e203\core\e203_clk_ctrl.v,FLOOD\rtl\e203\core\e203_clk_ctrl.v,4944,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_clkgate.v,mactree\flood\rtl\e203\core\e203_clkgate.v,FLOOD\rtl\e203\core\e203_clkgate.v,1941,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_core.v,mactree\flood\rtl\e203\core\e203_core.v,FLOOD\rtl\e203\core\e203_core.v,36063,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_cpu.v,mactree\flood\rtl\e203\core\e203_cpu.v,FLOOD\rtl\e203\core\e203_cpu.v,33341,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_cpu_top.v,mactree\flood\rtl\e203\core\e203_cpu_top.v,FLOOD\rtl\e203\core\e203_cpu_top.v,20019,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_defines.v,mactree\flood\rtl\e203\core\e203_defines.v,FLOOD\rtl\e203\core\e203_defines.v,41575,group,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_dtcm_ctrl.v,mactree\flood\rtl\e203\core\e203_dtcm_ctrl.v,FLOOD\rtl\e203\core\e203_dtcm_ctrl.v,13172,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_dtcm_ram.v,mactree\flood\rtl\e203\core\e203_dtcm_ram.v,FLOOD\rtl\e203\core\e203_dtcm_ram.v,2565,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_extend_csr.v,mactree\flood\rtl\e203\core\e203_extend_csr.v,FLOOD\rtl\e203\core\e203_extend_csr.v,2086,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu.v,mactree\flood\rtl\e203\core\e203_exu.v,FLOOD\rtl\e203\core\e203_exu.v,32453,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_alu.v,mactree\flood\rtl\e203\core\e203_exu_alu.v,FLOOD\rtl\e203\core\e203_exu_alu.v,35926,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
