workload_id,spatial_idx,cin_idx,phase,start_cycle,duration_cycles,end_cycle_exclusive,rule
person2_sd_unet_gemm_001,0,0,first_spatial_first_cin_startup,0,167,167,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,0,1,final_cin_output_store,167,56,223,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,0,first_spatial_first_cin_startup,0,167,167,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,1,middle_cin_accumulate,167,53,220,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,2,middle_cin_accumulate,220,53,273,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,3,middle_cin_accumulate,273,53,326,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,4,middle_cin_accumulate,326,53,379,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,5,middle_cin_accumulate,379,53,432,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,6,middle_cin_accumulate,432,53,485,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_002,0,7,final_cin_output_store,485,56,541,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,0,first_spatial_first_cin_startup,0,53,53,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,1,middle_cin_accumulate,53,53,106,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,2,middle_cin_accumulate,106,53,159,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,3,middle_cin_accumulate,159,53,212,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,4,middle_cin_accumulate,212,53,265,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,5,middle_cin_accumulate,265,53,318,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,6,middle_cin_accumulate,318,53,371,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,0,7,final_cin_output_store,371,56,427,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,0,0,first_spatial_first_cin_startup,0,53,53,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,0,1,final_cin_output_store,53,56,109,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,1,0,middle_cin_accumulate,109,53,162,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,1,1,final_cin_output_store,162,56,218,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,2,0,middle_cin_accumulate,218,53,271,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,2,1,final_cin_output_store,271,56,327,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,3,0,middle_cin_accumulate,327,53,380,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,3,1,final_cin_output_store,380,56,436,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,4,0,middle_cin_accumulate,436,53,489,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,4,1,final_cin_output_store,489,56,545,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,5,0,middle_cin_accumulate,545,53,598,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,5,1,final_cin_output_store,598,56,654,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,6,0,middle_cin_accumulate,654,53,707,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,6,1,final_cin_output_store,707,56,763,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,7,0,middle_cin_accumulate,763,53,816,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,7,1,final_cin_output_store,816,56,872,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,8,0,middle_cin_accumulate,872,53,925,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_004,8,1,final_cin_output_store,925,56,981,k1_group16_spatial_reuse_v8
