workload_id,config_cycles,activation_load_cycles,weight_load_cycles,compute_cycles,output_store_cycles,system_total_cycles,memory_dma_cycles,compute_ratio,memory_ratio,confidence_grade,system_model_status,paper_use_policy,paper_use_reason,base_cycle_policy
person2_sd_unet_gemm_001,3,16,2638,223,46,2926,2700,0.076213,0.922761,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_002,3,46,10538,541,46,11174,10630,0.048416,0.951316,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_003,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_004,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_005,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_006,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_007,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_008,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_009,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_010,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_011,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_012,3,10538,5272,7242,84266,107321,100076,0.06748,0.932492,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_013,3,42136,2638,27328,10538,82643,55312,0.330675,0.669288,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_014,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_015,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_016,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_017,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_018,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_019,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_020,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_021,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_022,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_023,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_024,3,2638,5272,2010,21070,30993,28980,0.064853,0.93505,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_025,3,10538,2638,6832,2638,22649,15814,0.301647,0.698221,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
person2_sd_unet_gemm_026,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_027,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_028,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
person2_sd_unet_gemm_029,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
