workload_id,operator,source_stage,shape_args,pytorchsim_cycles,flood_mac_cycles,flood_system_cycles,mac_speedup_vs_pytorchsim,system_speedup_vs_pytorchsim,latency_us_330mhz,system_latency_us_330mhz,confidence_grade,value_check_status,paper_use_policy,paper_use_reason,model_scope
person2_sd_unet_gemm_001,gemm,time_embedding.linear_1,1 64 256,564.0,223,2926,2.529148,0.192755,0.675758,8.866667,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_002,gemm,time_embedding.linear_2,1 256 256,1117.0,541,11174,2.064695,0.099964,1.639394,33.860606,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_003,gemm,down_blocks.0.resnets.0.time_emb_proj,1 256 64,662.0,427,3130,1.550351,0.211502,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_004,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,1024 64 64,1432.0,6976,28719,0.205275,0.049862,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_005,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,1024 64 64,1465.0,6976,28719,0.210006,0.051012,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_006,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,1024 64 64,1482.0,6976,28719,0.212443,0.051603,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_007,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,1024 64 64,1424.0,6976,28719,0.204128,0.049584,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_008,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,1024 64 64,1436.0,6976,28719,0.205849,0.050002,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_009,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,77 768 64,1682.0,6375,24586,0.263843,0.068413,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_010,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,77 768 64,1641.0,6375,24586,0.257412,0.066745,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
