workload_id,phase,start_cycle,duration_cycles,end_cycle_exclusive,bytes_moved,rule
person2_sd_unet_gemm_001,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; unvalidated fixed write latency
person2_sd_unet_gemm_001,dma_activation_load,3,16,19,64,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_001,dma_weight_load,19,2638,2657,16384,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_001,mac_datapath_run,2657,223,2880,0,cycle interval from Base FLOOD MAC datapath simulator
person2_sd_unet_gemm_001,dma_output_store,2880,46,2926,256,dma_top 64-bit AXI write path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_002,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; unvalidated fixed write latency
person2_sd_unet_gemm_002,dma_activation_load,3,46,49,256,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_002,dma_weight_load,49,10538,10587,65536,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_002,mac_datapath_run,10587,541,11128,0,cycle interval from Base FLOOD MAC datapath simulator
person2_sd_unet_gemm_002,dma_output_store,11128,46,11174,256,dma_top 64-bit AXI write path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_003,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; unvalidated fixed write latency
person2_sd_unet_gemm_003,dma_activation_load,3,46,49,256,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_003,dma_weight_load,49,2638,2687,16384,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_003,mac_datapath_run,2687,427,3114,0,cycle interval from Base FLOOD MAC datapath simulator
person2_sd_unet_gemm_003,dma_output_store,3114,16,3130,64,dma_top 64-bit AXI write path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_004,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; unvalidated fixed write latency
person2_sd_unet_gemm_004,dma_activation_load,3,10538,10541,65536,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_004,dma_weight_load,10541,664,11205,4096,dma_top 64-bit AXI read path; ideal ready/valid; unvalidated system projection
person2_sd_unet_gemm_004,mac_datapath_run,11205,6976,18181,0,cycle interval from Base FLOOD MAC datapath simulator
