workload_id,log_file,task_id
conv_022_op_00049,PATH_TO_RTL_LOGS/rtl_task_001_conv_022_op_00049.log,rtl_task_001_conv_022_op_00049
conv_027_op_00065,PATH_TO_RTL_LOGS/rtl_task_002_conv_027_op_00065.log,rtl_task_002_conv_027_op_00065
conv_002_op_00003,PATH_TO_RTL_LOGS/rtl_task_003_conv_002_op_00003.log,rtl_task_003_conv_002_op_00003
conv_003_op_00005,PATH_TO_RTL_LOGS/rtl_task_004_conv_003_op_00005.log,rtl_task_004_conv_003_op_00005
conv_021_op_00048,PATH_TO_RTL_LOGS/rtl_task_005_conv_021_op_00048.log,rtl_task_005_conv_021_op_00048
conv_023_op_00051,PATH_TO_RTL_LOGS/rtl_task_006_conv_023_op_00051.log,rtl_task_006_conv_023_op_00051
conv_028_op_00067,PATH_TO_RTL_LOGS/rtl_task_007_conv_028_op_00067.log,rtl_task_007_conv_028_op_00067
conv_032_op_00081,PATH_TO_RTL_LOGS/rtl_task_008_conv_032_op_00081.log,rtl_task_008_conv_032_op_00081
conv_015_op_00040,PATH_TO_RTL_LOGS/rtl_task_009_conv_015_op_00040.log,rtl_task_009_conv_015_op_00040
conv_018_op_00044,PATH_TO_RTL_LOGS/rtl_task_010_conv_018_op_00044.log,rtl_task_010_conv_018_op_00044
conv_006_op_00018,PATH_TO_RTL_LOGS/rtl_task_011_conv_006_op_00018.log,rtl_task_011_conv_006_op_00018
conv_007_op_00019,PATH_TO_RTL_LOGS/rtl_task_012_conv_007_op_00019.log,rtl_task_012_conv_007_op_00019
conv_008_op_00021,PATH_TO_RTL_LOGS/rtl_task_013_conv_008_op_00021.log,rtl_task_013_conv_008_op_00021
conv_009_op_00022,PATH_TO_RTL_LOGS/rtl_task_014_conv_009_op_00022.log,rtl_task_014_conv_009_op_00022
conv_010_op_00024,PATH_TO_RTL_LOGS/rtl_task_015_conv_010_op_00024.log,rtl_task_015_conv_010_op_00024
conv_013_op_00037,PATH_TO_RTL_LOGS/rtl_task_016_conv_013_op_00037.log,rtl_task_016_conv_013_op_00037
conv_014_op_00039,PATH_TO_RTL_LOGS/rtl_task_017_conv_014_op_00039.log,rtl_task_017_conv_014_op_00039
conv_016_op_00042,PATH_TO_RTL_LOGS/rtl_task_018_conv_016_op_00042.log,rtl_task_018_conv_016_op_00042
conv_019_op_00046,PATH_TO_RTL_LOGS/rtl_task_019_conv_019_op_00046.log,rtl_task_019_conv_019_op_00046
conv_001_op_00002,PATH_TO_RTL_LOGS/rtl_task_020_conv_001_op_00002.log,rtl_task_020_conv_001_op_00002
