relative_path,status,expected_sha256,actual_sha256,expected_bytes,actual_bytes
FLOOD/rtl/e203/core/e203_biu.v,pass,1d5f0ff812444f5bbc977a6adbe40dcfb6ef3b1fb23676377b37cfa481e82f5f,1d5f0ff812444f5bbc977a6adbe40dcfb6ef3b1fb23676377b37cfa481e82f5f,41215,41215
FLOOD/rtl/e203/core/e203_cpu_top.v,pass,3b7ef0edbe963829f709f4ddadfcaec91d4f58af661514868de1ccb430f50a3b,3b7ef0edbe963829f709f4ddadfcaec91d4f58af661514868de1ccb430f50a3b,20608,20608
FLOOD/rtl/e203/core/e203_exu_nice.v,pass,7961e12ab97dd466c7fd4801878ea23da2a1c4d06734d0a425be60c6871c71d2,7961e12ab97dd466c7fd4801878ea23da2a1c4d06734d0a425be60c6871c71d2,5236,5236
FLOOD/rtl/e203/core/e203_lsu.v,pass,26b5e64c70294cf961b3716015b9526fc62f8735dd87b22f0a02d1a8f8d90a81,26b5e64c70294cf961b3716015b9526fc62f8735dd87b22f0a02d1a8f8d90a81,14831,14831
FLOOD/rtl/e203/core/e203_lsu_ctrl.v,pass,e7118ee9cc335cef3ebbf22e6853fc33f42af9cbcf127eaa577615b0a5043477,e7118ee9cc335cef3ebbf22e6853fc33f42af9cbcf127eaa577615b0a5043477,38847,38847
FLOOD/rtl/e203/subsys/bus/top/bus_top.v,pass,01b3c0939b089907c707f794cc0926d802a342113022020577206bae271d95de,01b3c0939b089907c707f794cc0926d802a342113022020577206bae271d95de,24132,24132
FLOOD/rtl/e203/subsys/dma/apb2reg_if.v,pass,6000b6075423bae2c108eed90745cbf580597766a38d3d2ae764d9212f786c5c,6000b6075423bae2c108eed90745cbf580597766a38d3d2ae764d9212f786c5c,895,895
FLOOD/rtl/e203/subsys/dma/dam_fsm.v,pass,fbae14f890e6cb786af0b1d36f02a8a9509d65b01d5a68e441f21e06b9d92dc4,fbae14f890e6cb786af0b1d36f02a8a9509d65b01d5a68e441f21e06b9d92dc4,9052,9052
FLOOD/rtl/e203/subsys/dma/dma_axi2fifo.v,pass,b879026fd3b8b14bebde68e3ea03fccd89d19ac078c7c093af1a01486b1c98fe,b879026fd3b8b14bebde68e3ea03fccd89d19ac078c7c093af1a01486b1c98fe,12508,12508
FLOOD/rtl/e203/subsys/dma/dma_core.v,pass,4d2fe6b363101bf5172f77512a401bb3f7d9fca18d4210cdd8b42c540c0d97c4,4d2fe6b363101bf5172f77512a401bb3f7d9fca18d4210cdd8b42c540c0d97c4,13897,13897
FLOOD/rtl/e203/subsys/dma/dma_csr.v,pass,987e7d69dc2444bd55bed48c2606ec1bcc9210a70a71f894d06674298cc53046,987e7d69dc2444bd55bed48c2606ec1bcc9210a70a71f894d06674298cc53046,3088,3088
FLOOD/rtl/e203/subsys/dma/dma_fifo.v,pass,90ef8ffd1133fa6832e4dffd12db1628cbbd5dde0416aa065fb7c9cf03f691c0,90ef8ffd1133fa6832e4dffd12db1628cbbd5dde0416aa065fb7c9cf03f691c0,2488,2488
FLOOD/rtl/e203/subsys/dma/dma_pseudo_code.txt,pass,2d53996e048b6704a0400b9de9e2fdb5c99cfe5af6e378d5bd0c61602799711c,2d53996e048b6704a0400b9de9e2fdb5c99cfe5af6e378d5bd0c61602799711c,1282,1282
FLOOD/rtl/e203/subsys/dma/dma_reg.v,pass,c65b51116afc152106b3ff502b5b67e7e25584791e7194bdfc9623d13fa6033f,c65b51116afc152106b3ff502b5b67e7e25584791e7194bdfc9623d13fa6033f,15695,15695
FLOOD/rtl/e203/subsys/dma/dma_slice.v,pass,8681bc1fde2f1c07390719782573913441af8823c9b16107d9c1aaf683f437e8,8681bc1fde2f1c07390719782573913441af8823c9b16107d9c1aaf683f437e8,11069,11069
FLOOD/rtl/e203/subsys/dma/dma_top.v,pass,295f48eecbeb431c35418de24c9ce3c11c9c6f367b7b1939b65a8f0638d01eb7,295f48eecbeb431c35418de24c9ce3c11c9c6f367b7b1939b65a8f0638d01eb7,9538,9538
FLOOD/rtl/e203/subsys/e203_subsys_nice_core.v,pass,9e760b81334ab530a06e2ae9c12403835d6ee9f2ce71515b090681db69c5f9d3,9e760b81334ab530a06e2ae9c12403835d6ee9f2ce71515b090681db69c5f9d3,23685,23685
FLOOD/rtl/e203/subsys/e203_subsys_top.v,pass,7f33f610a5d919dd870588adb771ce807c5ad209253a7b2c14ce1c48aa9816a6,7f33f610a5d919dd870588adb771ce807c5ad209253a7b2c14ce1c48aa9816a6,26069,26069
FLOOD/rtl/e203/subsys/mac_unit/MacMachineWrapper_dummy.v,pass,70044d698cd188d55459484448d09150ee89668b25330e948045ffcc0000275e,70044d698cd188d55459484448d09150ee89668b25330e948045ffcc0000275e,10585,10585
FLOOD/rtl/e203/subsys/mac_unit/MacMachine_RamCtrlSimple.v,pass,806383fdb5e8eba1f7545ea373327ba5c52ed86853db7af3dca5e4222254a249,806383fdb5e8eba1f7545ea373327ba5c52ed86853db7af3dca5e4222254a249,1590,1590
FLOOD/rtl/e203/subsys/mac_unit/MacMachine_top.v,pass,5cf2776667eb41833b7cf4074a698159b13bd2e70ca2ecee19265c93978fcaef,5cf2776667eb41833b7cf4074a698159b13bd2e70ca2ecee19265c93978fcaef,16142,16142
FLOOD/rtl/e203/subsys/mac_unit/Mac_ASIC_top.v,pass,d0e9398e9bfbdb3aa7fd3fc21419a8394af7466e74c015e459fd0fb3170a0272,d0e9398e9bfbdb3aa7fd3fc21419a8394af7466e74c015e459fd0fb3170a0272,20308,20308
FLOOD/rtl/e203/subsys/mac_unit/Mac_ASIC_top_wrapper.v,pass,e5701a4df5e6d1f00380cfb25d6959149af3d01f04bfd88a10dda6b9c0f4dec6,e5701a4df5e6d1f00380cfb25d6959149af3d01f04bfd88a10dda6b9c0f4dec6,17157,17157
FLOOD/rtl/e203/subsys/mac_unit/Mac_ASIC_top_wrapper_dc.v,pass,473c6c7749b737d4d424314ce984cd332c1b04391f54001564fd341a57be3f4c,473c6c7749b737d4d424314ce984cd332c1b04391f54001564fd341a57be3f4c,5489,5489
FLOOD/rtl/e203/subsys/mac_unit/RamCtrlSwitch.v,pass,0acaa72311630d3731f27431bdd2d8b2e834373190a51ccebbe0402789b5e618,0acaa72311630d3731f27431bdd2d8b2e834373190a51ccebbe0402789b5e618,3584,3584
FLOOD/rtl/e203/subsys/mac_unit/RamCtrlSwitch_512b.v,pass,21171a1ae3bc01c3948ae933417379b6c6915926ea6a62c83999365c702357bc,21171a1ae3bc01c3948ae933417379b6c6915926ea6a62c83999365c702357bc,6617,6617
FLOOD/rtl/e203/subsys/mac_unit/async_fifo.v,pass,c2c3f8c9cc73c96a4a644566758cdca6a1512ba16a854ac77f964ae53c1515a4,c2c3f8c9cc73c96a4a644566758cdca6a1512ba16a854ac77f964ae53c1515a4,7715,7715
FLOOD/rtl/e203/subsys/mac_unit/b64_b256.v,pass,34d8a1d1d907715a259fac86865732bfd6372ad0f64067c3773a8f248c4db4e0,34d8a1d1d907715a259fac86865732bfd6372ad0f64067c3773a8f248c4db4e0,3474,3474
FLOOD/rtl/e203/subsys/mac_unit/b64_b32.v,pass,5c63541baa1d410605591cc7384b2aa582544c86fa3649c0fe4b1a8b66438e24,5c63541baa1d410605591cc7384b2aa582544c86fa3649c0fe4b1a8b66438e24,710,710
FLOOD/rtl/e203/subsys/mac_unit/design_ram_mux.v,pass,01f1e07c29c5833a31698fdd731effd73bf871c0974da6b83e6128ae09179ae7,01f1e07c29c5833a31698fdd731effd73bf871c0974da6b83e6128ae09179ae7,5769,5769
FLOOD/rtl/e203/subsys/mac_unit/e203_bram_64k.v,pass,eb68056965b4f9c153d560f113990e42ca974bf0c6ab421c50ca64cbba4c8077,eb68056965b4f9c153d560f113990e42ca974bf0c6ab421c50ca64cbba4c8077,9502,9502
FLOOD/rtl/e203/subsys/mac_unit/e203_bram_64k_512b.v,pass,8caff62ff6c7992dbb68f077e32d30b779a6cdc439d2defe868de6178ec548bd,8caff62ff6c7992dbb68f077e32d30b779a6cdc439d2defe868de6178ec548bd,11599,11599
FLOOD/rtl/e203/subsys/mac_unit/e203_bram_test.v,pass,9da08fcce29a321c19c36c877243dc8bc2dfb5bb0f41d9d16304b85332f89c3b,9da08fcce29a321c19c36c877243dc8bc2dfb5bb0f41d9d16304b85332f89c3b,2350,2350
FLOOD/rtl/e203/subsys/mac_unit/tb_Mac_ASIC_top_system.v,pass,9b82ca2fb60751122e35a87173050956b260162342a86d13806b7ce8b36ddc07,9b82ca2fb60751122e35a87173050956b260162342a86d13806b7ce8b36ddc07,10938,10938
FLOOD/rtl/e203/subsys/mac_unit/tb_sram.v,pass,8d45381f9c8e61592a7f326cc463589facd3a319783ab1ff6cdc3879acbd3caa,8d45381f9c8e61592a7f326cc463589facd3a319783ab1ff6cdc3879acbd3caa,7509,7509
FLOOD/rtl/e203/subsys/mac_unit/tsdn28hpcpuhdb32x128m4mwa_130a_ssg0p81v125c.v,pass,1e2b3b6c14091c3493534e0d19b8089bbdc7bbc8b99b9f29e8dd17a403efa1c6,1e2b3b6c14091c3493534e0d19b8089bbdc7bbc8b99b9f29e8dd17a403efa1c6,509030,509030
FLOOD/src/main/scala/IO/ioclass.scala,pass,2c63437a8f7fb2569068c1bd61eb4e521dccb617ea54c177deff041902d905b8,2c63437a8f7fb2569068c1bd61eb4e521dccb617ea54c177deff041902d905b8,2272,2272
FLOOD/src/main/scala/Machine/FSM.scala,pass,6ae9327ea415cb2b35f54012e578d4c7e30a2e39adc625abce90619ff6016482,6ae9327ea415cb2b35f54012e578d4c7e30a2e39adc625abce90619ff6016482,19172,19172
FLOOD/src/main/scala/Machine/FSMDualMode.scala,pass,2a99ae4072ea755ab42dfd197ede4e56d1b292695649ca31ac26e21565b85a0e,2a99ae4072ea755ab42dfd197ede4e56d1b292695649ca31ac26e21565b85a0e,25494,25494
FLOOD/src/main/scala/Machine/MacMachine.scala,pass,d14dfd2f03ffee134c1b44b7290e18997e8e54b7b2c00724caf7f1c71284c67e,d14dfd2f03ffee134c1b44b7290e18997e8e54b7b2c00724caf7f1c71284c67e,9092,9092
FLOOD/src/main/scala/Machine/MacMachineWrapper.scala,pass,b13bc3e992ebd5e35890cf5f2eaaa40545c4550f09719dd622678205984b44ea,b13bc3e992ebd5e35890cf5f2eaaa40545c4550f09719dd622678205984b44ea,9376,9376
FLOOD/src/main/scala/Machine/MultipleDetector.scala,pass,a0f247638f19f491673bd4c2c28d9887b1d2308f2ce8859063ca2f048690808b,a0f247638f19f491673bd4c2c28d9887b1d2308f2ce8859063ca2f048690808b,2688,2688
FLOOD/src/main/scala/Machine/OutRouter.scala,pass,e2c68816b057cda5e98887035fa46703f95faf15a2a0870bf4bb6fb9dcba318b,e2c68816b057cda5e98887035fa46703f95faf15a2a0870bf4bb6fb9dcba318b,11823,11823
FLOOD/src/main/scala/Machine/OutRouterPlane.scala,pass,4c50a9c5bafb9dc3f4c2cc57f28b1093a2e6c12e778ec81eaf51de86011e5616,4c50a9c5bafb9dc3f4c2cc57f28b1093a2e6c12e778ec81eaf51de86011e5616,22915,22915
FLOOD/src/main/scala/Machine/OutRouterPlanePost.scala,pass,e5c341711b0108cce32b6b5a9411e0a4e48f5cb0d68caa14343a4b7895ddd191,e5c341711b0108cce32b6b5a9411e0a4e48f5cb0d68caa14343a4b7895ddd191,50156,50156
FLOOD/src/main/scala/core/CIMcore.scala,pass,7ba96e8bc4d0c1653df7cac05937101cdbcf893ebc664e2013ab58e30c0cd51c,7ba96e8bc4d0c1653df7cac05937101cdbcf893ebc664e2013ab58e30c0cd51c,32370,32370
FLOOD/src/main/scala/core/Config.scala,mismatch,6360a9b1a6ba37a48cb5ba59e89baab41ce4f74214090f0ec1c809a0f8fc8d13,e0c3cfeb3ce298774b77bd705d2b45bf997eb37401c8ffcfd70a8ca74a3fba66,10282,10285
FLOOD/src/main/scala/core/Tile.scala,pass,9cbcdafdcca2fede8875e6343d90e2bd7f0e7f78e4ac3254199bb573dd855cc4,9cbcdafdcca2fede8875e6343d90e2bd7f0e7f78e4ac3254199bb573dd855cc4,30448,30448
