mechanism,parameter,base_value,mechanism_value,changed
zero_skip,rowSize,32,32,False
zero_skip,colSize,32,32,False
zero_skip,dataWidth,8,8,False
zero_skip,pipeline,2,2,False
zero_skip,tLatency,4,4,False
zero_skip,compressionFactor,4,4,False
zero_skip,tileSize,16,16,False
zero_skip,maxGroupSize,tileSize,tileSize,False
zero_skip,maxGroupNum,tileSize,tileSize,False
zero_skip,maxKernelBlockCout,32,32,False
zero_skip,maxKernelBlockCin,1024,1024,False
channel_group_sparsity,rowSize,32,32,False
channel_group_sparsity,colSize,32,32,False
channel_group_sparsity,dataWidth,8,8,False
channel_group_sparsity,pipeline,2,2,False
channel_group_sparsity,tLatency,4,4,False
channel_group_sparsity,compressionFactor,4,4,False
channel_group_sparsity,tileSize,16,16,False
channel_group_sparsity,maxGroupSize,tileSize,tileSize,False
channel_group_sparsity,maxGroupNum,tileSize,tileSize,False
channel_group_sparsity,maxKernelBlockCout,32,32,False
channel_group_sparsity,maxKernelBlockCin,1024,1024,False
