workload_id,config_cycles,activation_load_cycles,weight_load_cycles,compute_cycles,output_store_cycles,system_total_cycles,memory_dma_cycles,compute_ratio,memory_ratio,confidence_grade,system_model_status,paper_use_policy,paper_use_reason,base_cycle_policy
gemm_001_op_00000,3,16,2638,223,46,2926,2700,0.076213,0.922761,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_002_op_00001,3,46,10538,541,46,11174,10630,0.048416,0.951316,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_001_op_00002,3,5930,376,42304,10538,59151,16844,0.715187,0.284763,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_002_op_00003,3,94798,5930,379200,10538,490469,111266,0.773138,0.226856,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_003_op_00004,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_003_op_00005,3,94798,5930,379200,10538,490469,111266,0.773138,0.226856,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_004_op_00006,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_004_op_00007,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_005_op_00008,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_006_op_00009,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_007_op_00010,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_008_op_00011,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_009_op_00012,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_010_op_00013,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_011_op_00014,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_012_op_00015,3,10538,5272,7242,84266,107321,100076,0.06748,0.932492,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_013_op_00016,3,42136,2638,27328,10538,82643,55312,0.330675,0.669288,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
conv_005_op_00017,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
conv_006_op_00018,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
