workload_id,operator,source_stage,shape_args,pytorchsim_cycles,flood_mac_cycles,flood_system_cycles,mac_speedup_vs_pytorchsim,system_speedup_vs_pytorchsim,latency_us_330mhz,system_latency_us_330mhz,confidence_grade,value_check_status,paper_use_policy,paper_use_reason,model_scope
gemm_001_op_00000,gemm,time_embedding.linear_1,1 64 256,,223,2926,,,0.675758,8.866667,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_002_op_00001,gemm,time_embedding.linear_2,1 256 256,,541,11174,,,1.639394,33.860606,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_001_op_00002,conv,conv_in,1 32 32 4 64 3 1 1,,42304,59151,,,128.193939,179.245455,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_002_op_00003,conv,down_blocks.0.resnets.0.conv1,1 32 32 64 64 3 1 1,,379200,490469,,,1149.090909,1486.269697,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_003_op_00004,gemm,down_blocks.0.resnets.0.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_003_op_00005,conv,down_blocks.0.resnets.0.conv2,1 32 32 64 64 3 1 1,,379200,490469,,,1149.090909,1486.269697,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_004_op_00006,conv,down_blocks.0.attentions.0.proj_in,1 32 32 64 64 1 1 0,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_004_op_00007,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_005_op_00008,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_006_op_00009,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_007_op_00010,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_008_op_00011,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_009_op_00012,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,77 768 64,,6375,24586,,,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_010_op_00013,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,77 768 64,,6375,24586,,,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_011_op_00014,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_012_op_00015,gemm,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,1024 64 512,,7242,107321,,,21.945455,325.215152,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_013_op_00016,gemm,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,1024 256 64,,27328,82643,,,82.812121,250.433333,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_005_op_00017,conv,down_blocks.0.attentions.0.proj_out,1 32 32 64 64 1 1 0,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
