workload_id,operator,shape_args,predicted_config_cycles,measured_config_cycles,predicted_activation_dma_cycles,measured_activation_dma_cycles,predicted_weight_dma_cycles,measured_weight_dma_cycles,predicted_mac_cycles,measured_mac_cycles,predicted_output_dma_cycles,measured_output_dma_cycles,predicted_system_total_cycles,measured_system_total_cycles,rtl_status,notes
gemm_001_op_00000,gemm,1 64 256,3,,16,,2638,,223,,46,,2926,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_002_op_00001,gemm,1 256 256,3,,46,,10538,,541,,46,,11174,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_001_op_00002,conv,1 32 32 4 64 3 1 1,3,,5930,,376,,42304,,10538,,59151,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_002_op_00003,conv,1 32 32 64 64 3 1 1,3,,94798,,5930,,379200,,10538,,490469,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_003_op_00004,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_003_op_00005,conv,1 32 32 64 64 3 1 1,3,,94798,,5930,,379200,,10538,,490469,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_004_op_00006,conv,1 32 32 64 64 1 1 0,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_004_op_00007,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_005_op_00008,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_006_op_00009,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_007_op_00010,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_008_op_00011,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_009_op_00012,gemm,77 768 64,3,,9508,,7904,,6375,,796,,24586,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_010_op_00013,gemm,77 768 64,3,,9508,,7904,,6375,,796,,24586,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_011_op_00014,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
