workload_id,phase,start_cycle,duration_cycles,end_cycle_exclusive,bytes_moved,rule
gemm_001_op_00000,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
gemm_001_op_00000,dma_activation_load,3,16,19,64,dma_top read path; model=default_visible_rtl_interface_model
gemm_001_op_00000,dma_weight_load,19,2638,2657,16384,dma_top read path; model=default_visible_rtl_interface_model
gemm_001_op_00000,mac_datapath_run,2657,223,2880,0,cycle interval from Base FLOOD MAC datapath simulator
gemm_001_op_00000,dma_output_store,2880,46,2926,256,dma_top write path; model=default_visible_rtl_interface_model
gemm_002_op_00001,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
gemm_002_op_00001,dma_activation_load,3,46,49,256,dma_top read path; model=default_visible_rtl_interface_model
gemm_002_op_00001,dma_weight_load,49,10538,10587,65536,dma_top read path; model=default_visible_rtl_interface_model
gemm_002_op_00001,mac_datapath_run,10587,541,11128,0,cycle interval from Base FLOOD MAC datapath simulator
gemm_002_op_00001,dma_output_store,11128,46,11174,256,dma_top write path; model=default_visible_rtl_interface_model
conv_001_op_00002,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
conv_001_op_00002,dma_activation_load,3,5930,5933,36864,dma_top read path; model=default_visible_rtl_interface_model
conv_001_op_00002,dma_weight_load,5933,376,6309,2304,dma_top read path; model=default_visible_rtl_interface_model
conv_001_op_00002,mac_datapath_run,6309,42304,48613,0,cycle interval from Base FLOOD MAC datapath simulator
conv_001_op_00002,dma_output_store,48613,10538,59151,65536,dma_top write path; model=default_visible_rtl_interface_model
conv_002_op_00003,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
conv_002_op_00003,dma_activation_load,3,94798,94801,589824,dma_top read path; model=default_visible_rtl_interface_model
conv_002_op_00003,dma_weight_load,94801,5930,100731,36864,dma_top read path; model=default_visible_rtl_interface_model
conv_002_op_00003,mac_datapath_run,100731,379200,479931,0,cycle interval from Base FLOOD MAC datapath simulator
conv_002_op_00003,dma_output_store,479931,10538,490469,65536,dma_top write path; model=default_visible_rtl_interface_model
gemm_003_op_00004,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
gemm_003_op_00004,dma_activation_load,3,46,49,256,dma_top read path; model=default_visible_rtl_interface_model
gemm_003_op_00004,dma_weight_load,49,2638,2687,16384,dma_top read path; model=default_visible_rtl_interface_model
gemm_003_op_00004,mac_datapath_run,2687,427,3114,0,cycle interval from Base FLOOD MAC datapath simulator
gemm_003_op_00004,dma_output_store,3114,16,3130,64,dma_top write path; model=default_visible_rtl_interface_model
conv_003_op_00005,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
conv_003_op_00005,dma_activation_load,3,94798,94801,589824,dma_top read path; model=default_visible_rtl_interface_model
conv_003_op_00005,dma_weight_load,94801,5930,100731,36864,dma_top read path; model=default_visible_rtl_interface_model
conv_003_op_00005,mac_datapath_run,100731,379200,479931,0,cycle interval from Base FLOOD MAC datapath simulator
conv_003_op_00005,dma_output_store,479931,10538,490469,65536,dma_top write path; model=default_visible_rtl_interface_model
conv_004_op_00006,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
conv_004_op_00006,dma_activation_load,3,10538,10541,65536,dma_top read path; model=default_visible_rtl_interface_model
conv_004_op_00006,dma_weight_load,10541,664,11205,4096,dma_top read path; model=default_visible_rtl_interface_model
conv_004_op_00006,mac_datapath_run,11205,6976,18181,0,cycle interval from Base FLOOD MAC datapath simulator
conv_004_op_00006,dma_output_store,18181,10538,28719,65536,dma_top write path; model=default_visible_rtl_interface_model
gemm_004_op_00007,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
gemm_004_op_00007,dma_activation_load,3,10538,10541,65536,dma_top read path; model=default_visible_rtl_interface_model
gemm_004_op_00007,dma_weight_load,10541,664,11205,4096,dma_top read path; model=default_visible_rtl_interface_model
gemm_004_op_00007,mac_datapath_run,11205,6976,18181,0,cycle interval from Base FLOOD MAC datapath simulator
gemm_004_op_00007,dma_output_store,18181,10538,28719,65536,dma_top write path; model=default_visible_rtl_interface_model
gemm_005_op_00008,cpu_config_writes,0,3,3,0,configBus writes from MacMachine_top/FSMDualMode; model=default_visible_rtl_interface_model
gemm_005_op_00008,dma_activation_load,3,10538,10541,65536,dma_top read path; model=default_visible_rtl_interface_model
gemm_005_op_00008,dma_weight_load,10541,664,11205,4096,dma_top read path; model=default_visible_rtl_interface_model
