id,source_stage,operator,shape_args,pytorchsim_cycles,sim_status,k,cout,cin_idx_total,spatial_points,total_cycles,latency_us_330mhz,confidence_grade,confidence_note,interval_count,mac_total_cycles,speedup_vs_pytorchsim_cycles,model_scope,activation_bytes,weight_bytes,output_bytes,config_cycles,activation_dma_cycles,weight_dma_cycles,output_dma_cycles,system_total_cycles,system_latency_us_330mhz,system_model_status,system_model_note,system_speedup_vs_pytorchsim_cycles
gemm_001_op_00000,time_embedding.linear_1,gemm,1 64 256,,ok,1,8,2,1,223,0.675758,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,2,223,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,64,16384,256,3,16,2638,46,2926,8.866667,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_002_op_00001,time_embedding.linear_2,gemm,1 256 256,,ok,1,8,8,1,541,1.639394,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,541,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,65536,256,3,46,10538,46,11174,33.860606,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_001_op_00002,conv_in,conv,1 32 32 4 64 3 1 1,,ok,3,2,2,64,42304,128.193939,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,128,42304,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,36864,2304,65536,3,5930,376,10538,59151,179.245455,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_002_op_00003,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,,ok,3,2,18,64,379200,1149.090909,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,1152,379200,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,589824,36864,65536,3,94798,5930,10538,490469,1486.269697,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_003_op_00004,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_003_op_00005,down_blocks.0.resnets.0.conv2,conv,1 32 32 64 64 3 1 1,,ok,3,2,18,64,379200,1149.090909,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,1152,379200,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,589824,36864,65536,3,94798,5930,10538,490469,1486.269697,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_004_op_00006,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_004_op_00007,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_005_op_00008,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_006_op_00009,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
