result_dir,table,workload_id,interval_rows,timeline_start,timeline_end,summary_total_key,summary_total,status,issues
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_001,2,0,223,total_cycles,223,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_002,8,0,541,total_cycles,541,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_003,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_004,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_005,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_006,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_007,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_008,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_009,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_010,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_011,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_012,128,0,7242,total_cycles,7242,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_013,512,0,27328,total_cycles,27328,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_014,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_015,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_016,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_017,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_018,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_019,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_020,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_021,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_022,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_023,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_024,32,0,2010,total_cycles,2010,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_025,128,0,6832,total_cycles,6832,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_026,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_027,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_028,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_029,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\person2_gemm,cycle_intervals,person2_sd_unet_gemm_030,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_001,5,0,2926,system_total_cycles,2926,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_002,5,0,11174,system_total_cycles,11174,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_003,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_004,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_005,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_006,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_007,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_008,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_009,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_010,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_011,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_012,5,0,107321,system_total_cycles,107321,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_013,5,0,82643,system_total_cycles,82643,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_014,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_015,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_016,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_017,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_018,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_019,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_020,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_021,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_022,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_023,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_024,5,0,30993,system_total_cycles,30993,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_025,5,0,22649,system_total_cycles,22649,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_026,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_027,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_028,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_029,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\person2_gemm,system_intervals,person2_sd_unet_gemm_030,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_001_op_00002,128,0,42304,total_cycles,42304,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_002_op_00003,1152,0,379200,total_cycles,379200,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_003_op_00005,1152,0,379200,total_cycles,379200,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_004_op_00006,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_005_op_00017,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_006_op_00018,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_007_op_00019,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_008_op_00021,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_009_op_00022,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_010_op_00024,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_011_op_00025,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_012_op_00036,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_013_op_00037,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_014_op_00039,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_015_op_00040,576,0,189552,total_cycles,189552,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_016_op_00042,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_017_op_00043,64,0,3440,total_cycles,3440,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_018_op_00044,576,0,189552,total_cycles,189552,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_019_op_00046,288,0,94800,total_cycles,94800,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_020_op_00047,64,0,3440,total_cycles,3440,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_021_op_00048,1152,0,379200,total_cycles,379200,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_022_op_00049,2304,0,758208,total_cycles,758208,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_023_op_00051,1152,0,379200,total_cycles,379200,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_024_op_00052,256,0,13760,total_cycles,13760,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_025_op_00053,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,conv_026_op_00064,128,0,6976,total_cycles,6976,pass,
