"source_file","case","status","k","cout","group_size","group_num","cin_idx_total","res_cols","res_rows","spatial_points","rc","run_count","cycle_list","total_cycles","zero_cycles","x_count","cluster_x","router_read_x","router_write_x","output_read_x","feature_lines","feature_hex_chars","log"
"rtl_attn_score_cin_threshold_v1.csv","thr_attn_cout29_ci1_rc2_rr1","clean","1","29","16","1","1","2","1","2","0","2","569;56","625","0","0","0","0","0","0","512","128","logs/thr_attn_cout29_ci1_rc2_rr1.log"
"rtl_attn_score_cin_threshold_v1.csv","thr_attn_cout29_ci3_rc2_rr1","blocked_zero_cycle_no_x","1","29","16","1","3","2","1","2","0","6","566;53;0;53;0;0","672","3","0","0","0","0","0","1536","128","logs/thr_attn_cout29_ci3_rc2_rr1.log"
"rtl_attn_score_cout_threshold_v1.csv","thr_attn_cout16_rr1","clean","1","16","16","1","2","2","1","2","0","4","319;56;53;56","484","0","0","0","0","0","0","1024","128","logs/thr_attn_cout16_rr1.log"
"rtl_attn_score_cout_threshold_v1.csv","thr_attn_cout24_rr1","clean","1","24","16","1","2","2","1","2","0","4","471;56;53;56","636","0","0","0","0","0","0","1024","128","logs/thr_attn_cout24_rr1.log"
"rtl_attn_score_cout_threshold_v2.csv","thr_attn_cout28_rr1","clean","1","28","16","1","2","2","1","2","0","4","547;56;53;56","712","0","0","0","0","0","0","1024","128","logs/thr_attn_cout28_rr1.log"
"rtl_attn_score_cout_threshold_v2.csv","thr_attn_cout30_rr1","blocked_zero_cycle_no_x","1","30","16","1","2","2","1","2","0","4","585;56;53;0","694","1","0","0","0","0","0","1024","128","logs/thr_attn_cout30_rr1.log"
"rtl_attn_score_cout_threshold_v2.csv","thr_attn_cout32_rr1_v2","blocked_zero_cycle_no_x","1","32","16","1","2","2","1","2","0","4","623;56;53;0","732","1","0","0","0","0","0","1024","128","logs/thr_attn_cout32_rr1_v2.log"
"rtl_attn_score_cout_threshold_v3.csv","thr_attn_cout29_rr1","blocked_zero_cycle_no_x","1","29","16","1","2","2","1","2","0","4","566;56;53;0","675","1","0","0","0","0","0","1024","128","logs/thr_attn_cout29_rr1.log"
"rtl_attn_score_cout_threshold_v4.csv","thr_attn_cout27_rr1","clean","1","27","16","1","2","2","1","2","0","4","528;56;53;56","693","0","0","0","0","0","0","1024","128","logs/thr_attn_cout27_rr1.log"
"rtl_attn_score_group_threshold_v1.csv","thr_attn_cout29_g4_ci2_rc2_rr1","blocked_no_done","1","29","4","4","2","2","1","2","0","0","NA","NA","NA","0","1","0","0","0","1024","128","logs/thr_attn_cout29_g4_ci2_rc2_rr1.log"
"rtl_attn_score_group_threshold_v1.csv","thr_attn_cout29_g8_ci2_rc2_rr1","blocked_no_done","1","29","8","2","2","2","1","2","0","0","NA","NA","NA","0","1","0","0","0","1024","128","logs/thr_attn_cout29_g8_ci2_rc2_rr1.log"
"rtl_attn_score_rescols_threshold_v1.csv","thr_attn_cout29_rc1_rr1","clean","1","29","16","1","2","1","1","1","0","2","566;56","622","0","0","0","0","0","0","1024","64","logs/thr_attn_cout29_rc1_rr1.log"
"rtl_attn_score_rescols_threshold_v1.csv","thr_attn_cout29_rc3_rr1","blocked_zero_cycle_with_x","1","29","16","1","2","3","1","3","0","6","566;56;53;0;53;0","728","2","1034","58","28","58","1880","1024","192","logs/thr_attn_cout29_rc3_rr1.log"
"rtl_attn_score_resrows_threshold_v1.csv","thr_attn_score_rr1","blocked_zero_cycle_no_x","1","32","16","1","2","2","1","2","0","4","623;56;53;0","732","1","0","0","0","0","0","1024","128","logs/thr_attn_score_rr1.log"
"rtl_attn_score_resrows_threshold_v1.csv","thr_attn_score_rr2","blocked_zero_cycle_no_x","1","32","16","1","2","2","2","4","0","8","623;56;53;0;53;0;53;0","838","3","0","0","0","0","0","2048","128","logs/thr_attn_score_rr2.log"
"rtl_attn_score_resrows_threshold_v1.csv","thr_attn_score_rr4","blocked_zero_cycle_no_x","1","32","16","1","2","2","4","8","0","16","623;56;53;0;53;0;53;0;53;0;53;0;53;0;53;0","1050","7","0","0","0","0","0","4096","128","logs/thr_attn_score_rr4.log"
