dataset,id,workload,stage,operator,shape_args,scenario,pytorchsim_cycles,pytorchsim_latency_us,peak_scale_vs_current_rtl,note,compute_cycles,weight_load_cycles,activation_load_cycles,output_store_cycles,metadata_cycles,outlier_cycles,shift_add_cycles,noc_reduce_cycles,tile_output_transfer_cycles,output_arbiter_cycles,joint_sram_cycles,total_cycles,flood_cycles,flood_latency_us,speedup_vs_pytorchsim,compute_utilization
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,current_rtl,187707.0,199.68829787234043,8.0,current visible FLOOD RTL scale,921600.0,28800.0,368640.0,20480.0,0.0,0.0,5120.0,2304.0,5120.0,81920.0,5120.0,1041786.0,1041786.0,1108.282979,0.180178,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,equal_peak_dense,187707.0,199.68829787234043,8.0,equal peak MAC/cycle normalization only,115200.0,3600.0,46080.0,2560.0,0.0,0.0,640.0,288.0,640.0,10240.0,640.0,130208.0,130208.0,138.519149,1.441593,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,flood_conservative,187707.0,199.68829787234043,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,103680.0,3060.0,39168.0,2176.0,3110.4,2073.6,640.0,288.0,544.0,8704.0,544.0,121770.0,121770.0,129.542553,1.541488,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,flood_main,187707.0,199.68829787234043,8.0,equal peak + main FLOOD paper-level assumptions,86400.0,2700.0,34560.0,1920.0,3456.0,1728.0,640.0,288.0,480.0,7680.0,480.0,103082.0,103082.0,109.661702,1.820948,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,flood_aggressive,187707.0,199.68829787234043,8.0,equal peak + aggressive sensitivity assumptions,69120.0,2340.0,29952.0,1664.0,3456.0,2073.6,640.0,288.0,416.0,6656.0,416.0,84741.6,84741.6,90.150638,2.215051,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,current_rtl,136456.0,145.1659574468085,8.0,current visible FLOOD RTL scale,921600.0,115200.0,184320.0,10240.0,0.0,0.0,2560.0,960.0,2560.0,40960.0,2560.0,981652.0,981652.0,1044.310638,0.139006,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,equal_peak_dense,136456.0,145.1659574468085,8.0,equal peak MAC/cycle normalization only,115200.0,14400.0,23040.0,1280.0,0.0,0.0,320.0,120.0,320.0,5120.0,320.0,122680.0,122680.0,130.510638,1.112292,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,flood_conservative,136456.0,145.1659574468085,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,103680.0,12240.0,19584.0,1088.0,3110.4,2073.6,320.0,120.0,272.0,4352.0,272.0,115298.0,115298.0,122.657447,1.183507,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,flood_main,136456.0,145.1659574468085,8.0,equal peak + main FLOOD paper-level assumptions,86400.0,10800.0,17280.0,960.0,3456.0,1728.0,320.0,120.0,240.0,3840.0,240.0,97314.0,97314.0,103.525532,1.402224,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,flood_aggressive,136456.0,145.1659574468085,8.0,equal peak + aggressive sensitivity assumptions,69120.0,9360.0,14976.0,832.0,3456.0,2073.6,320.0,120.0,208.0,3328.0,208.0,79677.6,79677.6,84.763404,1.712602,1.0
