id,workload,stage,operator,shape_args,reason,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status,dataset,rtl_compute_cycles,rtl_weight_load_cycles,rtl_activation_load_cycles,rtl_output_store_cycles,rtl_config_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles,rtl_tile_output_transfer_cycles,rtl_output_arbiter_cycles,rtl_joint_sram_cycles,rtl_total_cycles,rtl_latency_us,rtl_useful_macs,rtl_padded_macs,rtl_compute_utilization,rtl_m_blocks,rtl_k_blocks,rtl_n_blocks,rtl_workmode_class,rtl_output_transfer_multiplier,rtl_model_note,rtl_speedup_vs_pytorchsim_baseline,pytorchsim_cycles,pytorchsim_latency_us,backend_scenario,shape_desc,max_expected_runtime_s
unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,UNet early feature conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_64_320_320.log,1,187707,187707,199.68829787234043,54.757187,248.62105263157895,90.38184210526317,0.93,189336,2682072,344064,ok,workload_v1,921600,28800,368640,20480,42,5120,2304,5120,81920,5120,1041786,1108.2829787234043,3774873600,3774873600,1.0,256,90,10,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.18017807879929276,187707.0,199.68829787234043,current_rtl,,
unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,UNet middle feature conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_32_640_640.log,1,136456,136456,145.1659574468085,60.090444,392.6328571428571,86.04750000000001,0.52,215040,3317760,122880,ok,workload_v1,921600,115200,184320,10240,52,2560,960,2560,40960,2560,981652,1044.3106382978724,3774873600,3774873600,1.0,64,180,20,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.13900649109867855,136456.0,145.1659574468085,current_rtl,,
unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,UNet late high-channel conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_16_1280_1280.log,1,294253,294253,313.0351063829787,108.73231,422.60100000000006,38.95533333333333,0.13,510800,8110080,62720,ok,workload_v1,921600,460800,92160,5120,72,1280,240,1280,20480,1280,951672,1012.4170212765957,3774873600,3774873600,1.0,16,360,40,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.30919581536495766,294253.0,313.0351063829787,current_rtl,,
attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,Attention QKV projection proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_qkv_4096_320_320.log,1,34810,34810,37.03191489361702,18.970953,367.9275,59.317499999999995,4.76,50352,475136,323580,ok,workload_v1,102400,3200,40960,20480,42,0,9,2560,40960,0,166531,177.16063829787234,419430400,419430400,1.0,256,10,10,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.20903015054254162,34810.0,37.03191489361702,current_rtl,,
attn_score_1024_64_1024,SD_UNet_Attention,mid_attn,gemm,1024 64 1024,Attention score GEMM proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_score_1024_64_1024.log,1,13070,13070,13.904255319148936,9.315375,350.43,36.15,8.48,17468,49152,220406,ok,workload_v1,16384,2048,2048,16384,64,0,15,2048,32768,0,67919,72.25425531914894,67108864,67108864,1.0,64,2,32,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.19243510652394763,13070.0,13.904255319148936,current_rtl,,
attn_softmax_1024_1024,SD_UNet_Attention,mid_attn,softmax,1024 1024,Attention softmax proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_softmax_1024_1024.log,1,43587,43587,46.36914893617021,45.213539,368.726,0.0,57.71,63600,787712,229888,ok,workload_v1,,,,,,,,,,,,,,,,,,,,,operator not supported by current FLOOD RTL-aware model,,43587.0,46.36914893617021,current_rtl,,
vae_dec_conv_64_256_128,VAE_Decoder,decoder,conv,1 64 64 256 128 3 1 1,VAE decoder conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/vae_dec_conv_64_256_128.log,1,47318,47318,50.338297872340426,23.901136,423.64399999999995,78.072,1.26,80903,1123027,98112,ok,workload_v1,294912,9216,294912,8192,36,2048,768,2048,32768,2048,342852,364.73617021276596,1207959552,1207959552,1.0,256,72,4,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.13801290352688625,47318.0,50.338297872340426,current_rtl,,
dit_qkv_256_768_768,DiT_B4,transformer,gemm,256 768 768,DiT projection proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/dit_qkv_256_768_768.log,1,10941,10941,11.63936170212766,10.724064,332.855,44.1,2.18,14543,197120,34784,ok,workload_v1,36864,18432,6144,3072,56,0,15,384,6144,0,46727,49.70957446808511,150994944,150994944,1.0,16,24,24,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.23414728101525883,10941.0,11.63936170212766,current_rtl,,
dit_mlp_256_768_3072,DiT_B4,transformer_mlp,gemm,256 768 3072,DiT MLP expansion proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/dit_mlp_256_768_3072.log,1,36396,36396,38.719148936170214,21.370079,329.03000000000003,58.739999999999995,2.28,46321,638976,101568,ok,workload_v1,147456,73728,6144,12288,128,0,15,1536,24576,0,186767,198.68829787234043,603979776,603979776,1.0,16,24,96,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.19487382674669507,36396.0,38.719148936170214,current_rtl,,
dit_softmax_256_256,DiT_B4,transformer_attn,softmax,256 256,DiT attention softmax proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/dit_softmax_256_256.log,1,4602,4602,4.895744680851064,13.424358,215.23,0.0,40.74,2058,24672,8256,ok,workload_v1,,,,,,,,,,,,,,,,,,,,,operator not supported by current FLOOD RTL-aware model,,4602.0,4.895744680851064,current_rtl,,
