model,config,rows,latency_cycles,latency_us,throughput_rows_per_s,pytorchsim_baseline_cycles,speedup_vs_pytorchsim,data_source,readiness,energy_power,compute_utilization,dram_traffic,sram_traffic,missing_reason
mixed workload subset,FLOOD direct RTL-clean subset,6,6689.0,7.115957,140529.227089,6450.0,0.96427,direct RTL-clean + PyTorchSim baseline,B_direct_rtl_clean_workload_row,,,,,
mixed workload subset,FLOOD k3 appendix projection,11,116271232.0,123692.8,8.084545,700809.0,0.006027,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,,,,,
SD UNet / synthetic UNet trace,trace_gemm_001,1,223.0,0.237234,4215246.636771,623.0,2.793722,direct RTL-clean + PyTorchSim baseline,B_direct_rtl_clean_workload_row,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_gemm_002,1,541.0,0.575532,1737523.10536,1101.0,2.03512,direct RTL-clean + PyTorchSim baseline,B_direct_rtl_clean_workload_row,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_gemm_005,1,427.0,0.454255,2201405.152225,656.0,1.5363,direct RTL-clean + PyTorchSim baseline,B_direct_rtl_clean_workload_row,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_013,1,1744.0,1.855319,538990.825688,999.0,0.572821,direct RTL-clean + PyTorchSim baseline,B_direct_rtl_clean_workload_row,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_gemm_014,1,1744.0,1.855319,538990.825688,940.0,0.538991,direct RTL-clean + PyTorchSim baseline,B_direct_rtl_clean_workload_row,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_gemm_015,1,2010.0,2.138298,467661.691542,2131.0,1.060199,direct RTL-clean + PyTorchSim baseline,B_direct_rtl_clean_workload_row,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,unet_conv_64_320_320,1,34675968.0,36889.32766,27.108111,187707.0,0.005413,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,unet_conv_32_640_640,1,34272192.0,36459.778723,27.427484,136456.0,0.003982,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,1,34070448.0,36245.157447,27.589893,294253.0,0.008637,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD VAE,vae_dec_conv_64_256_128,1,11483904.0,12216.919149,81.853697,47318.0,0.00412,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_003,1,42304.0,45.004255,22220.121029,6118.0,0.14462,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_004,1,379200.0,403.404255,2478.902954,6796.0,0.017922,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_011,1,94800.0,100.851064,9915.611814,2745.0,0.028956,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_012,1,94800.0,100.851064,9915.611814,2292.0,0.024177,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_017,1,189552.0,201.651064,4959.061366,2877.0,0.015178,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_019,1,758208.0,806.604255,1239.765341,8001.0,0.010553,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
SD UNet / synthetic UNet trace,trace_conv_021,1,209856.0,223.251064,4479.26197,6246.0,0.029763,RTL-calibrated projection + PyTorchSim baseline,C_projection_large_k3_extent_unvalidated,MISSING,MISSING,MISSING,MISSING,energy/power/utilization/traffic require energy model or simulator counters for this final table
