model,layer_or_workload,operator,config,activation_sparsity,weight_sparsity,skipped_mac_percent,useful_macs,baseline_cycles,projected_sparse_cycles,cycle_reduction_percent,energy_reduction_percent,utilization_note,data_source,readiness,missing_reason
SD UNet / synthetic UNet trace,unet_conv_64_320_320,conv,no skipping,0.0,0.0,0.0,3774873600.0,34675968.0,34675968.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_64_320_320,conv,zero skipping 25% act,0.25,0.0,25.0,3774873600.0,34675968.0,26006976.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_64_320_320,conv,zero skipping 50% act,0.5,0.0,50.0,3774873600.0,34675968.0,17337984.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_64_320_320,conv,zero skipping 25% act + 25% wt,0.25,0.25,43.75,3774873600.0,34675968.0,19505232.0,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_64_320_320,conv,+ adder pruning proxy,0.5,0.0,60.0,3774873600.0,34675968.0,13870387.2,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_64_320_320,conv,+ GCSE group sparsity proxy,0.5,0.25,82.5,3774873600.0,34675968.0,6068294.4,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_32_640_640,conv,no skipping,0.0,0.0,0.0,3774873600.0,34272192.0,34272192.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_32_640_640,conv,zero skipping 25% act,0.25,0.0,25.0,3774873600.0,34272192.0,25704144.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_32_640_640,conv,zero skipping 50% act,0.5,0.0,50.0,3774873600.0,34272192.0,17136096.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_32_640_640,conv,zero skipping 25% act + 25% wt,0.25,0.25,43.75,3774873600.0,34272192.0,19278108.0,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_32_640_640,conv,+ adder pruning proxy,0.5,0.0,60.0,3774873600.0,34272192.0,13708876.8,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_32_640_640,conv,+ GCSE group sparsity proxy,0.5,0.25,82.5,3774873600.0,34272192.0,5997633.6,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,conv,no skipping,0.0,0.0,0.0,3774873600.0,34070448.0,34070448.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,conv,zero skipping 25% act,0.25,0.0,25.0,3774873600.0,34070448.0,25552836.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,conv,zero skipping 50% act,0.5,0.0,50.0,3774873600.0,34070448.0,17035224.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,conv,zero skipping 25% act + 25% wt,0.25,0.25,43.75,3774873600.0,34070448.0,19164627.0,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,conv,+ adder pruning proxy,0.5,0.0,60.0,3774873600.0,34070448.0,13628179.2,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,conv,+ GCSE group sparsity proxy,0.5,0.25,82.5,3774873600.0,34070448.0,5962328.4,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_qkv_4096_320_320,gemm,no skipping,0.0,0.0,0.0,419430400.0,136600.0,136600.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_qkv_4096_320_320,gemm,zero skipping 25% act,0.25,0.0,25.0,419430400.0,136600.0,102450.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_qkv_4096_320_320,gemm,zero skipping 50% act,0.5,0.0,50.0,419430400.0,136600.0,68300.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_qkv_4096_320_320,gemm,zero skipping 25% act + 25% wt,0.25,0.25,43.75,419430400.0,136600.0,76837.5,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_qkv_4096_320_320,gemm,+ adder pruning proxy,0.5,0.0,60.0,419430400.0,136600.0,54640.0,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_qkv_4096_320_320,gemm,+ GCSE group sparsity proxy,0.5,0.25,82.5,419430400.0,136600.0,23905.0,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_score_1024_64_1024,gemm,no skipping,0.0,0.0,0.0,67108864.0,7546.0,7546.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_direct_rtl_blocked,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_score_1024_64_1024,gemm,zero skipping 25% act,0.25,0.0,25.0,67108864.0,7546.0,5659.5,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_direct_rtl_blocked,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_score_1024_64_1024,gemm,zero skipping 50% act,0.5,0.0,50.0,67108864.0,7546.0,3773.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_direct_rtl_blocked,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_score_1024_64_1024,gemm,zero skipping 25% act + 25% wt,0.25,0.25,43.75,67108864.0,7546.0,4244.625,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_direct_rtl_blocked,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_score_1024_64_1024,gemm,+ adder pruning proxy,0.5,0.0,60.0,67108864.0,7546.0,3018.4,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_direct_rtl_blocked,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,attn_score_1024_64_1024,gemm,+ GCSE group sparsity proxy,0.5,0.25,82.5,67108864.0,7546.0,1320.55,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_direct_rtl_blocked,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD VAE,vae_dec_conv_64_256_128,conv,no skipping,0.0,0.0,0.0,1207959552.0,11483904.0,11483904.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
