model,vector_length,implementation,latency_cycles,latency_us,speedup_vs_fp32_reference,approximation_error_proxy,accuracy_drop,area,power,data_source,missing_reason
attention microbenchmark,32,FP32 reference softmax,480.0,0.510638,1.0,0.0,MISSING,MISSING,MISSING,reference softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,32,INT8 LUT softmax proxy,201.6,0.214468,2.380952,0.02,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,32,piecewise-linear softmax proxy,168.0,0.178723,2.857143,0.04,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,32,online/streaming softmax proxy,134.4,0.142979,3.571429,0.01,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,64,FP32 reference softmax,864.0,0.919149,1.0,0.0,MISSING,MISSING,MISSING,reference softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,64,INT8 LUT softmax proxy,362.88,0.386043,2.380952,0.02,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,64,piecewise-linear softmax proxy,302.4,0.321702,2.857143,0.04,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,64,online/streaming softmax proxy,241.92,0.257362,3.571429,0.01,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,128,FP32 reference softmax,1632.0,1.73617,1.0,0.0,MISSING,MISSING,MISSING,reference softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,128,INT8 LUT softmax proxy,685.44,0.729191,2.380952,0.02,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,128,piecewise-linear softmax proxy,571.2,0.60766,2.857143,0.04,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
attention microbenchmark,128,online/streaming softmax proxy,456.96,0.486128,3.571429,0.01,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,256,FP32 reference softmax,3168.0,3.370213,1.0,0.0,MISSING,MISSING,MISSING,reference softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,256,INT8 LUT softmax proxy,1330.56,1.415489,2.380952,0.02,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,256,piecewise-linear softmax proxy,1108.8,1.179574,2.857143,0.04,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,256,online/streaming softmax proxy,887.04,0.94366,3.571429,0.01,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,512,FP32 reference softmax,6240.0,6.638298,1.0,0.0,MISSING,MISSING,MISSING,reference softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,512,INT8 LUT softmax proxy,2620.8,2.788085,2.380952,0.02,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,512,piecewise-linear softmax proxy,2184.0,2.323404,2.857143,0.04,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,512,online/streaming softmax proxy,1747.2,1.858723,3.571429,0.01,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,1024,FP32 reference softmax,12384.0,13.174468,1.0,0.0,MISSING,MISSING,MISSING,reference softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,1024,INT8 LUT softmax proxy,5201.28,5.533277,2.380952,0.02,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,1024,piecewise-linear softmax proxy,4334.4,4.611064,2.857143,0.04,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,1024,online/streaming softmax proxy,3467.52,3.688851,3.571429,0.01,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,2048,FP32 reference softmax,24672.0,26.246809,1.0,0.0,MISSING,MISSING,MISSING,reference softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,2048,INT8 LUT softmax proxy,10362.24,11.02366,2.380952,0.02,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
DiT / attention proxy,2048,piecewise-linear softmax proxy,8635.2,9.186383,2.857143,0.04,MISSING,MISSING,MISSING,proxy softmax micro-model from vector length,replace proxy latency/error with RTL or numerical softmax runner outputs before final paper claims
