model,layer_or_workload,dataflow,bandwidth,buffer_size,latency_cycles_pytorchsim,latency_cycles_flood_projection,buffer_usage,stall_cycles,utilization_pytorchsim_systolic_pct,utilization_vector_pct,dram_read_count,dram_write_count,dram_total_count,compute_cycles,memory_load_store_cycles,weight_load_cycles,activation_load_cycles,output_store_cycles,noc_reduce_cycles,shift_add_cycles,joint_sram_cycles,compute_cycle_percent,memory_cycle_percent,reduction_cycle_percent,data_source,readiness,missing_reason
SD UNet / synthetic UNet trace,unet_conv_64_320_320,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,187707.0,34675968.0,MISSING,MISSING,90.38184210526317,0.93,2682072,344064,3026136.0,921600.0,417920.0,28800.0,368640.0,20480.0,2304.0,5120.0,5120.0,2.6577,1.2052,0.0066,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,unet_conv_32_640_640,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,136456.0,34272192.0,MISSING,MISSING,86.04750000000001,0.52,3317760,122880,3440640.0,921600.0,309760.0,115200.0,184320.0,10240.0,960.0,2560.0,2560.0,2.6891,0.9038,0.0028,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,294253.0,34070448.0,MISSING,MISSING,38.95533333333333,0.13,8110080,62720,8172800.0,921600.0,558080.0,460800.0,92160.0,5120.0,240.0,1280.0,1280.0,2.705,1.638,0.0007,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,attn_qkv_4096_320_320,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,34810.0,136600.0,MISSING,MISSING,59.317499999999995,4.76,475136,323580,798716.0,102400.0,64640.0,3200.0,40960.0,20480.0,9.0,0.0,0.0,74.9634,47.3206,0.0066,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,attn_score_1024_64_1024,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,13070.0,7546.0,MISSING,MISSING,36.15,8.48,49152,220406,269558.0,16384.0,20480.0,2048.0,2048.0,16384.0,15.0,0.0,0.0,217.1217,271.4021,0.1988,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_direct_rtl_blocked,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,attn_softmax_1024_1024,,PyTorchSim observed aggregate DRAM GB/s,MISSING,43587.0,,MISSING,MISSING,0.0,57.71,787712,229888,1017600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,MISSING,MISSING,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_excluded,buffer occupancy/stall cycles require simulator counter export
SD VAE,vae_dec_conv_64_256_128,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,47318.0,11483904.0,MISSING,MISSING,78.072,1.26,1123027,98112,1221139.0,294912.0,312320.0,9216.0,294912.0,8192.0,768.0,2048.0,2048.0,2.568,2.7196,0.0067,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,dit_qkv_256_768_768,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,10941.0,20818.0,MISSING,MISSING,44.1,2.18,197120,34784,231904.0,36864.0,27648.0,18432.0,6144.0,3072.0,15.0,0.0,0.0,177.0775,132.8081,0.0721,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,dit_mlp_256_768_3072,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,36396.0,22186.0,MISSING,MISSING,58.739999999999995,2.28,638976,101568,740544.0,147456.0,92160.0,73728.0,6144.0,12288.0,15.0,0.0,0.0,664.6354,415.3971,0.0676,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,dit_softmax_256_256,,PyTorchSim observed aggregate DRAM GB/s,MISSING,4602.0,,MISSING,MISSING,0.0,40.74,24672,8256,32928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,MISSING,MISSING,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_excluded,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,623.0,223.0,MISSING,MISSING,0.16,2.57,2240,264,2504.0,64.0,518.0,512.0,2.0,4.0,7.0,0.0,0.0,28.6996,232.287,3.139,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,1101.0,541.0,MISSING,MISSING,0.18,1.45,8976,264,9240.0,256.0,2060.0,2048.0,8.0,4.0,7.0,0.0,0.0,47.3198,380.7763,1.2939,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_003,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,6118.0,42304.0,MISSING,MISSING,75.32,2.75,6250,8192,14442.0,1024.0,2248.0,72.0,1152.0,1024.0,64.0,256.0,256.0,2.4206,5.3139,0.1513,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
