id,dataset,shape_args,cout,cin_idx_total,spatial_points,pytorchsim_cycles,group16_v7_cycles,k3_gate_status,k3_gate_reason
unet_conv_64_320_320,workload_v1,1 64 64 320 320 3 1 1,10,90,256,187707.0,34675968.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
unet_conv_32_640_640,workload_v1,1 32 32 640 640 3 1 1,20,180,64,136456.0,34272192.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
unet_conv_16_1280_1280,workload_v1,1 16 16 1280 1280 3 1 1,40,360,16,294253.0,34070448.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
vae_dec_conv_64_256_128,workload_v1,1 64 64 256 128 3 1 1,4,72,256,47318.0,11483904.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
trace_conv_003,synthetic_unet_trace,1 32 32 4 64 3 1 1,2,2,64,6118.0,42304.0,appendix_projection_large_spatial_after_spatial2_clean,"cout/cin match k3 spatial probes, but workload spatial exceeds direct-clean spatial=2 evidence"
trace_conv_004,synthetic_unet_trace,1 32 32 64 64 3 1 1,2,18,64,6796.0,379200.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
trace_conv_011,synthetic_unet_trace,1 32 32 64 64 3 2 1,2,18,16,2745.0,94800.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
trace_conv_012,synthetic_unet_trace,1 16 16 64 64 3 1 1,2,18,16,2292.0,94800.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
trace_conv_017,synthetic_unet_trace,1 16 16 128 64 3 1 1,2,36,16,2877.0,189552.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
trace_conv_019,synthetic_unet_trace,1 32 32 128 64 3 1 1,2,36,64,8001.0,758208.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
trace_conv_021,synthetic_unet_trace,1 32 32 64 4 3 1 1,1,18,64,6246.0,209856.0,appendix_projection_cin_or_cout_extrapolation,cin/cout exceed current k3 direct-clean fit/holdout envelope
