case,k,cout,group_size,group_num,cin_idx_total,res_cols,res_rows,rc,run_count,cycle_list,total_cycles,log,source_file,status,invalid_reason,v3_predicted_total,v3_error_percent,v4_predicted_total,v4_error_percent
c01_k1_c1_g4_ci1,1,1,4,4,1,1,1,0,1,35,35,logs/c01_k1_c1_g4_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,35.0,0.0,35.0,0.0
c02_k1_c2_g4_ci1,1,2,4,4,1,1,1,0,1,48,48,logs/c02_k1_c2_g4_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,48.0,0.0,48.0,0.0
c03_k3_c1_g4_ci1,3,1,4,4,1,1,1,0,1,79,79,logs/c03_k3_c1_g4_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,79.0,0.0,79.0,0.0
c04_k3_c2_g4_ci1,3,2,4,4,1,1,1,0,1,133,133,logs/c04_k3_c2_g4_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,133.0,0.0,133.0,0.0
c05_k1_c1_g8_ci1,1,1,8,2,1,1,1,0,1,41,41,logs/c05_k1_c1_g8_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,41.0,0.0,41.0,0.0
c06_k1_c1_g4_ci2,1,1,4,4,2,1,1,0,2,32;35,67,logs/c06_k1_c1_g4_ci2.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,67.0,0.0,67.0,0.0
v01_k1_c4_g4_ci1,1,4,4,4,1,1,1,0,1,74,74,logs/v01_k1_c4_g4_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,74.0,0.0,74.0,0.0
v02_k1_c8_g4_ci1,1,8,4,4,1,1,1,0,1,126,126,logs/v02_k1_c8_g4_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,126.0,0.0,126.0,0.0
v03_k3_c4_g4_ci1,3,4,4,4,1,1,1,0,1,241,241,logs/v03_k3_c4_g4_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,241.0,0.0,241.0,0.0
v04_k1_c1_g2_ci1,1,1,2,8,1,1,1,0,1,35,35,logs/v04_k1_c1_g2_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,35.0,0.0,35.0,0.0
v05_k1_c1_g16_ci1,1,1,16,1,1,1,1,0,1,56,56,logs/v05_k1_c1_g16_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,56.0,0.0,56.0,0.0
v06_k3_c1_g8_ci1,3,1,8,2,1,1,1,0,1,107,107,logs/v06_k3_c1_g8_ci1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,107.0,0.0,107.0,0.0
v07_k1_c1_g4_ci4,1,1,4,4,4,1,1,0,4,32;32;32;35,131,logs/v07_k1_c1_g4_ci4.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,131.0,0.0,131.0,0.0
v08_k1_c2_g4_ci2,1,2,4,4,2,1,1,0,2,45;48,93,logs/v08_k1_c2_g4_ci2.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,93.0,0.0,93.0,0.0
s01_k1_c1_g4_ci1_rc2_rr1,1,1,4,4,1,2,1,0,2,35;35,70,logs/s01_k1_c1_g4_ci1_rc2_rr1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,70.0,0.0,70.0,0.0
s02_k1_c1_g4_ci1_rc1_rr2,1,1,4,4,1,1,2,0,2,35;35,70,logs/s02_k1_c1_g4_ci1_rc1_rr2.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,70.0,0.0,70.0,0.0
s03_k1_c1_g4_ci1_rc2_rr2,1,1,4,4,1,2,2,0,4,35;35;35;35,140,logs/s03_k1_c1_g4_ci1_rc2_rr2.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,140.0,0.0,140.0,0.0
s04_k3_c1_g4_ci1_rc2_rr1,3,1,4,4,1,2,1,0,2,79;79,158,logs/s04_k3_c1_g4_ci1_rc2_rr1.log,rtl_bringup_all_with_mid_complete_zeroinit.csv,valid,,158.0,0.0,158.0,0.0
