case_id,dataset,source_id,operator,shape_args,rtl_workmode_class,rtl_target,k,cout_blocks,group_size,group_num,cin_idx_total,res_cols,res_rows,stride,model_predicted_cycles,pytorchsim_cycles,iverilog_defines,runtime_plusargs,notes
calib_01,synthetic_unet_trace,trace_gemm_005,gemm,1 256 64,gemm,gemm_as_1x1,1,2,4,4,2,1,1,1,552,656.0,-DK_PARAM=1 -DCOUT_PARAM=2 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=2 -DRES_COL_TOTAL=1 -DRES_ROW_TOTAL=1,+K=1 +COUT=2 +GROUP_SIZE=4 +CIN_IDX_TOTAL=2 +RES_COLS=1 +RES_ROWS=1,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_02,synthetic_unet_trace,trace_gemm_015,gemm,256 64 512,gemm,gemm_as_1x1,1,8,4,4,1,4,1,1,8639,2131.0,-DK_PARAM=1 -DCOUT_PARAM=8 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=1 -DRES_COL_TOTAL=4 -DRES_ROW_TOTAL=1,+K=1 +COUT=8 +GROUP_SIZE=4 +CIN_IDX_TOTAL=1 +RES_COLS=4 +RES_ROWS=1,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_03,workload_v1,dit_mlp_256_768_3072,gemm,256 768 3072,gemm,gemm_as_1x1,1,8,4,4,6,4,1,1,186767,36396.0,-DK_PARAM=1 -DCOUT_PARAM=8 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=6 -DRES_COL_TOTAL=4 -DRES_ROW_TOTAL=1,+K=1 +COUT=8 +GROUP_SIZE=4 +CIN_IDX_TOTAL=6 +RES_COLS=4 +RES_ROWS=1,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_04,synthetic_unet_trace,trace_conv_013,conv,1 16 16 64 64 1 1 0,pointwise_conv,conv,1,2,4,4,1,1,4,1,1362,999.0,-DK_PARAM=1 -DCOUT_PARAM=2 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=1 -DRES_COL_TOTAL=1 -DRES_ROW_TOTAL=4,+K=1 +COUT=2 +GROUP_SIZE=4 +CIN_IDX_TOTAL=1 +RES_COLS=1 +RES_ROWS=4,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_05,synthetic_unet_trace,trace_conv_006,conv,1 32 32 64 64 1 1 0,pointwise_conv,conv,1,2,4,4,1,1,4,1,5346,2117.0,-DK_PARAM=1 -DCOUT_PARAM=2 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=1 -DRES_COL_TOTAL=1 -DRES_ROW_TOTAL=4,+K=1 +COUT=2 +GROUP_SIZE=4 +CIN_IDX_TOTAL=1 +RES_COLS=1 +RES_ROWS=4,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_06,synthetic_unet_trace,trace_conv_020,conv,1 32 32 128 64 1 1 0,pointwise_conv,conv,1,2,4,4,1,1,4,1,7394,2206.0,-DK_PARAM=1 -DCOUT_PARAM=2 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=1 -DRES_COL_TOTAL=1 -DRES_ROW_TOTAL=4,+K=1 +COUT=2 +GROUP_SIZE=4 +CIN_IDX_TOTAL=1 +RES_COLS=1 +RES_ROWS=4,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_07,synthetic_unet_trace,trace_conv_011,conv,1 32 32 64 64 3 2 1,spatial_conv,conv,3,2,4,4,1,1,4,2,6130,2745.0,-DK_PARAM=3 -DCOUT_PARAM=2 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=2 -DCIN_IDX_TOTAL=1 -DRES_COL_TOTAL=1 -DRES_ROW_TOTAL=4,+K=3 +COUT=2 +GROUP_SIZE=4 +CIN_IDX_TOTAL=1 +RES_COLS=1 +RES_ROWS=4,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_08,synthetic_unet_trace,trace_conv_004,conv,1 32 32 64 64 3 1 1,spatial_conv,conv,3,2,4,4,1,1,4,1,24418,6796.0,-DK_PARAM=3 -DCOUT_PARAM=2 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=1 -DRES_COL_TOTAL=1 -DRES_ROW_TOTAL=4,+K=3 +COUT=2 +GROUP_SIZE=4 +CIN_IDX_TOTAL=1 +RES_COLS=1 +RES_ROWS=4,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_09,workload_v1,unet_conv_64_320_320,conv,1 64 64 320 320 3 1 1,spatial_conv,conv,3,8,4,4,3,2,4,1,1041786,187707.0,-DK_PARAM=3 -DCOUT_PARAM=8 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=3 -DRES_COL_TOTAL=2 -DRES_ROW_TOTAL=4,+K=3 +COUT=8 +GROUP_SIZE=4 +CIN_IDX_TOTAL=3 +RES_COLS=2 +RES_ROWS=4,bounded small RTL calibration case derived from PyTorchSim workload shape
calib_10,workload_v1,unet_conv_32_640_640,conv,1 32 32 640 640 3 1 1,spatial_conv,conv,3,8,4,4,5,1,4,1,981652,136456.0,-DK_PARAM=3 -DCOUT_PARAM=8 -DGROUP_SIZE_PARAM=4 -DGROUP_NUM_PARAM=4 -DSTRIDE_PARAM=1 -DCIN_IDX_TOTAL=5 -DRES_COL_TOTAL=1 -DRES_ROW_TOTAL=4,+K=3 +COUT=8 +GROUP_SIZE=4 +CIN_IDX_TOTAL=5 +RES_COLS=1 +RES_ROWS=4,bounded small RTL calibration case derived from PyTorchSim workload shape
