case,k,cout,group_size,group_num,cin_idx_total,res_cols,res_rows,rc,run_count,cycle_list,total_cycles,x_count,cluster_x,router_read_x,router_write_x,output_read_x,feature_lines,feature_hex_chars,log,split,v6_status,v6_predicted_total,v6_error_percent,v6_rule
m01_k1_c6_g16_rc2_memclear,1,6,16,1,1,2,1,0,2,132;56,188,0,0,0,0,0,512,128,logs/m01_k1_c6_g16_rc2_memclear.log,fit,paper_candidate_clean,188.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
m02_k1_c6_g16_rc4_memclear,1,6,16,1,1,4,1,0,4,132;56;56;56,300,420,12,0,12,767,512,256,logs/m02_k1_c6_g16_rc4_memclear.log,blocked,blocked_cluster_x_for_res_cols_ge_3,300.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
m03_k1_c12_g16_rc2_memclear,1,12,16,1,1,2,1,0,2,246;56,302,0,0,0,0,0,512,128,logs/m03_k1_c12_g16_rc2_memclear.log,fit,paper_candidate_clean,302.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
m04_k1_c12_g16_rc4_memclear,1,12,16,1,1,4,1,0,4,246;56;56;56,414,824,24,0,24,1535,512,256,logs/m04_k1_c12_g16_rc4_memclear.log,blocked,blocked_cluster_x_for_res_cols_ge_3,414.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
m05_k1_c16_g16_rc2_memclear,1,16,16,1,1,2,1,0,2,322;56,378,0,0,0,0,0,512,128,logs/m05_k1_c16_g16_rc2_memclear.log,fit,paper_candidate_clean,378.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
m06_k1_c16_g16_rc4_memclear,1,16,16,1,1,4,1,0,4,322;56;56;56,490,1088,32,0,32,2047,512,256,logs/m06_k1_c16_g16_rc4_memclear.log,blocked,blocked_cluster_x_for_res_cols_ge_3,490.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c4_g16_rc2_memclear,1,4,16,1,1,2,1,0,2,94;56,150,0,0,0,0,0,512,128,logs/h_c4_g16_rc2_memclear.log,holdout,paper_candidate_clean,150.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c4_g16_rc3_memclear,1,4,16,1,1,3,1,0,3,94;56;56,206,140,4,0,4,255,512,192,logs/h_c4_g16_rc3_memclear.log,blocked,blocked_cluster_x_for_res_cols_ge_3,206.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c8_g16_rc2_memclear,1,8,16,1,1,2,1,0,2,170;56,226,0,0,0,0,0,512,128,logs/h_c8_g16_rc2_memclear.log,holdout,paper_candidate_clean,226.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c8_g16_rc3_memclear,1,8,16,1,1,3,1,0,3,170;56;56,282,280,8,0,8,511,512,192,logs/h_c8_g16_rc3_memclear.log,blocked,blocked_cluster_x_for_res_cols_ge_3,282.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c10_g16_rc2_memclear,1,10,16,1,1,2,1,0,2,208;56,264,0,0,0,0,0,512,128,logs/h_c10_g16_rc2_memclear.log,holdout,paper_candidate_clean,264.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c10_g16_rc3_memclear,1,10,16,1,1,3,1,0,3,208;56;56,320,350,10,0,10,639,512,192,logs/h_c10_g16_rc3_memclear.log,blocked,blocked_cluster_x_for_res_cols_ge_3,320.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c14_g16_rc2_memclear,1,14,16,1,1,2,1,0,2,284;56,340,0,0,0,0,0,512,128,logs/h_c14_g16_rc2_memclear.log,holdout,paper_candidate_clean,340.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
h_c14_g16_rc3_memclear,1,14,16,1,1,3,1,0,3,284;56;56,396,490,14,0,14,895,512,192,logs/h_c14_g16_rc3_memclear.log,blocked,blocked_cluster_x_for_res_cols_ge_3,396.0,0.0,first=19*cout+18; repeat_col=56; valid_for_group16_k1_cin1_res_cols_le_2
