dataset,id,workload,stage,operator,shape_args,scenario,pytorchsim_cycles,pytorchsim_latency_us,peak_scale_vs_current_rtl,note,compute_cycles,weight_load_cycles,activation_load_cycles,output_store_cycles,metadata_cycles,outlier_cycles,shift_add_cycles,noc_reduce_cycles,total_cycles,flood_cycles,flood_latency_us,speedup_vs_pytorchsim,compute_utilization
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,current_rtl,187707.0,199.68829787234043,8.0,current visible FLOOD RTL scale,921600.0,28800.0,368640.0,40960.0,0.0,0.0,5120.0,2304.0,970106.0,970106.0,1032.02766,0.193491,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,equal_peak_dense,187707.0,199.68829787234043,8.0,equal peak MAC/cycle normalization only,115200.0,3600.0,46080.0,5120.0,0.0,0.0,640.0,288.0,121248.0,121248.0,128.987234,1.548125,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,flood_conservative,187707.0,199.68829787234043,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,103680.0,3060.0,39168.0,4352.0,3110.4,2073.6,640.0,288.0,114154.0,114154.0,121.440426,1.644331,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,flood_main,187707.0,199.68829787234043,8.0,equal peak + main FLOOD paper-level assumptions,86400.0,2700.0,34560.0,3840.0,3456.0,1728.0,640.0,288.0,96362.0,96362.0,102.512766,1.947936,1.0
workload_v1,unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,flood_aggressive,187707.0,199.68829787234043,8.0,equal peak + aggressive sensitivity assumptions,69120.0,2340.0,29952.0,3328.0,3456.0,2073.6,640.0,288.0,78917.6,78917.6,83.954894,2.378519,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,current_rtl,136456.0,145.1659574468085,8.0,current visible FLOOD RTL scale,921600.0,115200.0,184320.0,20480.0,0.0,0.0,2560.0,960.0,945812.0,945812.0,1006.182979,0.144274,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,equal_peak_dense,136456.0,145.1659574468085,8.0,equal peak MAC/cycle normalization only,115200.0,14400.0,23040.0,2560.0,0.0,0.0,320.0,120.0,118200.0,118200.0,125.744681,1.15445,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,flood_conservative,136456.0,145.1659574468085,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,103680.0,12240.0,19584.0,2176.0,3110.4,2073.6,320.0,120.0,111490.0,111490.0,118.606383,1.22393,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,flood_main,136456.0,145.1659574468085,8.0,equal peak + main FLOOD paper-level assumptions,86400.0,10800.0,17280.0,1920.0,3456.0,1728.0,320.0,120.0,93954.0,93954.0,99.951064,1.45237,1.0
workload_v1,unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,flood_aggressive,136456.0,145.1659574468085,8.0,equal peak + aggressive sensitivity assumptions,69120.0,9360.0,14976.0,1664.0,3456.0,2073.6,320.0,120.0,76765.6,76765.6,81.665532,1.777567,1.0
workload_v1,unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,current_rtl,294253.0,313.0351063829787,8.0,current visible FLOOD RTL scale,921600.0,460800.0,92160.0,10240.0,0.0,0.0,1280.0,240.0,933752.0,933752.0,993.353191,0.31513,1.0
workload_v1,unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,equal_peak_dense,294253.0,313.0351063829787,8.0,equal peak MAC/cycle normalization only,115200.0,57600.0,11520.0,1280.0,0.0,0.0,160.0,30.0,116670.0,116670.0,124.117021,2.522097,1.0
workload_v1,unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,flood_conservative,294253.0,313.0351063829787,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,103680.0,48960.0,9792.0,1088.0,3110.4,2073.6,160.0,30.0,110152.0,110152.0,117.182979,2.671336,1.0
workload_v1,unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,flood_main,294253.0,313.0351063829787,8.0,equal peak + main FLOOD paper-level assumptions,86400.0,43200.0,8640.0,960.0,3456.0,1728.0,160.0,30.0,92744.0,92744.0,98.66383,3.172744,1.0
workload_v1,unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,flood_aggressive,294253.0,313.0351063829787,8.0,equal peak + aggressive sensitivity assumptions,69120.0,37440.0,7488.0,832.0,3456.0,2073.6,160.0,30.0,75683.6,75683.6,80.514468,3.887936,1.0
workload_v1,attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,current_rtl,34810.0,37.03191489361702,8.0,current visible FLOOD RTL scale,102400.0,3200.0,40960.0,40960.0,0.0,0.0,0.0,9.0,143491.0,143491.0,152.65,0.242594,1.0
workload_v1,attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,equal_peak_dense,34810.0,37.03191489361702,8.0,equal peak MAC/cycle normalization only,12800.0,400.0,5120.0,5120.0,0.0,0.0,0.0,1.125,17921.125,17921.125,19.065027,1.9424,1.0
workload_v1,attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,flood_conservative,34810.0,37.03191489361702,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,11520.0,340.0,4352.0,4352.0,345.6,230.4,0.0,1.125,16459.125,16459.125,17.509707,2.114936,1.0
workload_v1,attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,flood_main,34810.0,37.03191489361702,8.0,equal peak + main FLOOD paper-level assumptions,9600.0,300.0,3840.0,3840.0,384.0,192.0,0.0,1.125,14027.125,14027.125,14.922473,2.48162,1.0
workload_v1,attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,flood_aggressive,34810.0,37.03191489361702,8.0,equal peak + aggressive sensitivity assumptions,7680.0,260.0,3328.0,3328.0,384.0,230.4,0.0,1.125,11635.525,11635.525,12.378218,2.9917,1.0
workload_v1,attn_score_1024_64_1024,SD_UNet_Attention,mid_attn,gemm,1024 64 1024,current_rtl,13070.0,13.904255319148936,8.0,current visible FLOOD RTL scale,16384.0,2048.0,2048.0,32768.0,0.0,0.0,0.0,15.0,49487.0,49487.0,52.645745,0.26411,1.0
workload_v1,attn_score_1024_64_1024,SD_UNet_Attention,mid_attn,gemm,1024 64 1024,equal_peak_dense,13070.0,13.904255319148936,8.0,equal peak MAC/cycle normalization only,2048.0,256.0,256.0,4096.0,0.0,0.0,0.0,1.875,6145.875,6145.875,6.538165,2.12663,1.0
workload_v1,attn_score_1024_64_1024,SD_UNet_Attention,mid_attn,gemm,1024 64 1024,flood_conservative,13070.0,13.904255319148936,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,1843.2,217.6,217.6,3481.6,55.296,36.864,0.0,1.875,5428.835,5428.835,5.775356,2.407515,1.0
workload_v1,attn_score_1024_64_1024,SD_UNet_Attention,mid_attn,gemm,1024 64 1024,flood_main,13070.0,13.904255319148936,8.0,equal peak + main FLOOD paper-level assumptions,1536.0,192.0,192.0,3072.0,61.44,30.72,0.0,1.875,4712.035,4712.035,5.012803,2.773748,1.0
