dataset,scenario,operator,num_rows,pytorchsim_cycles,flood_cycles,flood_latency_us,speedup_vs_pytorchsim
synthetic_unet_trace,current_rtl,conv,11,41517.0,134341.0,142.915957,0.309042
synthetic_unet_trace,current_rtl,gemm,10,20875.0,68938.0,73.338298,0.302808
synthetic_unet_trace,equal_peak_dense,conv,11,41517.0,16746.0,17.814894,2.479219
synthetic_unet_trace,equal_peak_dense,gemm,10,20875.0,8537.75,9.082713,2.445024
synthetic_unet_trace,flood_aggressive,conv,11,41517.0,11738.448,12.487711,3.536839
synthetic_unet_trace,flood_aggressive,gemm,10,20875.0,5784.345,6.153559,3.608879
synthetic_unet_trace,flood_conservative,conv,11,41517.0,14908.52,15.860128,2.784783
synthetic_unet_trace,flood_conservative,gemm,10,20875.0,7573.7625,8.057194,2.756226
synthetic_unet_trace,flood_main,conv,11,41517.0,13284.08,14.132,3.12532
synthetic_unet_trace,flood_main,gemm,10,20875.0,6662.1501,7.087394,3.133373
workload_v1,current_rtl,conv,4,665734.0,3317962.0,3529.746809,0.200645
workload_v1,current_rtl,gemm,4,95217.0,467944.0,497.812766,0.203479
workload_v1,equal_peak_dense,conv,4,665734.0,414646.0,441.112766,1.605548
workload_v1,equal_peak_dense,gemm,4,95217.0,58294.75,62.015691,1.633372
workload_v1,equal_peak_dense,softmax,2,48189.0,48189.0,51.264894,1.0
workload_v1,flood_aggressive,conv,4,665734.0,271462.128,288.789498,2.452401
workload_v1,flood_aggressive,gemm,4,95217.0,37866.174,40.283164,2.514566
workload_v1,flood_aggressive,softmax,2,48189.0,31089.6775,33.074125,1.55
workload_v1,flood_conservative,conv,4,665734.0,389109.68,413.946468,1.710916
workload_v1,flood_conservative,gemm,4,95217.0,53190.91,56.586074,1.790099
workload_v1,flood_conservative,softmax,2,48189.0,40157.5,42.720745,1.2
workload_v1,flood_main,conv,4,665734.0,328712.88,349.694553,2.025275
workload_v1,flood_main,gemm,4,95217.0,45467.71,48.369904,2.094167
workload_v1,flood_main,softmax,2,48189.0,35695.5556,37.973995,1.35
