dataset,id,operator,shape_args,total_cycles,rtl_total_cycles,rtl_latency_us,rtl_speedup_vs_pytorchsim_baseline,rtl_compute_utilization,rtl_compute_cycles,rtl_activation_load_cycles,rtl_weight_load_cycles,rtl_output_store_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles
workload_v1,unet_conv_64_320_320,conv,1 64 64 320 320 3 1 1,187707,970106,1032.027659574468,0.19349122673192415,1.0,921600,368640,28800,40960,5120,2304
workload_v1,unet_conv_32_640_640,conv,1 32 32 640 640 3 1 1,136456,945812,1006.1829787234043,0.14427391490063565,1.0,921600,184320,115200,20480,2560,960
workload_v1,unet_conv_16_1280_1280,conv,1 16 16 1280 1280 3 1 1,294253,933752,993.3531914893617,0.3151297132429168,1.0,921600,92160,460800,10240,1280,240
workload_v1,vae_dec_conv_64_256_128,conv,1 64 64 256 128 3 1 1,47318,314180,334.2340425531915,0.15060793175886433,1.0,294912,294912,9216,16384,2048,768
workload_v1,dit_mlp_256_768_3072,gemm,256 768 3072,36396,172943,183.98191489361702,0.21045084218499738,1.0,147456,6144,73728,24576,0,15
workload_v1,attn_qkv_4096_320_320,gemm,4096 320 320,34810,143491,152.65,0.24259361214292186,1.0,102400,40960,3200,40960,0,9
workload_v1,attn_score_1024_64_1024,gemm,1024 64 1024,13070,49487,52.64574468085107,0.26410976620122456,1.0,16384,2048,2048,32768,0,15
workload_v1,dit_qkv_256_768_768,gemm,256 768 768,10941,43271,46.032978723404256,0.25284832797947815,1.0,36864,6144,18432,6144,0,15
synthetic_unet_trace,trace_conv_019,conv,1 32 32 128 64 3 1 1,8001,39266,41.772340425531915,0.20376407069729538,1.0,18432,36864,2304,2048,256,64
synthetic_unet_trace,trace_gemm_009,gemm,1024 64 512,6802,24767,26.347872340425532,0.2746396414583922,1.0,8192,2048,1024,16384,0,15
synthetic_unet_trace,trace_conv_004,conv,1 32 32 64 64 3 1 1,6796,20834,22.163829787234043,0.3261975616780263,1.0,9216,18432,1152,2048,256,64
synthetic_unet_trace,trace_conv_021,conv,1 32 32 64 4 3 1 1,6246,18721,19.91595744680851,0.33363602371668183,0.125,4608,18432,72,128,128,0
synthetic_unet_trace,trace_gemm_010,gemm,1024 256 64,3611,10275,10.930851063829786,0.3514355231143552,1.0,4096,8192,512,2048,0,1
synthetic_unet_trace,trace_conv_017,conv,1 16 16 128 64 3 1 1,2877,9842,10.470212765957447,0.2923186344238976,1.0,4608,9216,2304,512,64,16
synthetic_unet_trace,trace_gemm_015,gemm,256 64 512,2131,6335,6.73936170212766,0.33638516179952643,1.0,2048,512,1024,4096,0,15
synthetic_unet_trace,trace_conv_020,conv,1 32 32 128 64 1 1 0,2206,6242,6.640425531914894,0.35341236783082347,1.0,2048,4096,256,2048,0,64
synthetic_unet_trace,trace_conv_011,conv,1 32 32 64 64 3 2 1,2745,5234,5.568085106382979,0.5244554833779136,1.0,2304,4608,1152,512,64,16
synthetic_unet_trace,trace_conv_012,conv,1 16 16 64 64 3 1 1,2292,5234,5.568085106382979,0.4379059992357661,1.0,2304,4608,1152,512,64,16
synthetic_unet_trace,trace_conv_006,conv,1 32 32 64 64 1 1 0,2117,4194,4.461702127659574,0.5047687172150691,1.0,1024,2048,128,2048,0,64
synthetic_unet_trace,trace_gemm_007,gemm,1024 64 64,1804,4131,4.39468085106383,0.4366981360445413,1.0,1024,2048,128,2048,0,1
