dataset,id,operator,shape_args,total_cycles,rtl_total_cycles,rtl_latency_us,rtl_speedup_vs_pytorchsim_baseline,rtl_compute_utilization,rtl_compute_cycles,rtl_activation_load_cycles,rtl_weight_load_cycles,rtl_output_store_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles
workload_v1,unet_conv_64_320_320,conv,1 64 64 320 320 3 1 1,187707,1041786,1108.2829787234043,0.18017807879929276,1.0,921600,368640,28800,20480,5120,2304
workload_v1,unet_conv_32_640_640,conv,1 32 32 640 640 3 1 1,136456,981652,1044.3106382978724,0.13900649109867855,1.0,921600,184320,115200,10240,2560,960
workload_v1,unet_conv_16_1280_1280,conv,1 16 16 1280 1280 3 1 1,294253,951672,1012.4170212765957,0.30919581536495766,1.0,921600,92160,460800,5120,1280,240
workload_v1,vae_dec_conv_64_256_128,conv,1 64 64 256 128 3 1 1,47318,342852,364.73617021276596,0.13801290352688625,1.0,294912,294912,9216,8192,2048,768
workload_v1,dit_mlp_256_768_3072,gemm,256 768 3072,36396,186767,198.68829787234043,0.19487382674669507,1.0,147456,6144,73728,12288,0,15
workload_v1,attn_qkv_4096_320_320,gemm,4096 320 320,34810,166531,177.16063829787234,0.20903015054254162,1.0,102400,40960,3200,20480,0,9
workload_v1,attn_score_1024_64_1024,gemm,1024 64 1024,13070,67919,72.25425531914894,0.19243510652394763,1.0,16384,2048,2048,16384,0,15
workload_v1,dit_qkv_256_768_768,gemm,256 768 768,10941,46727,49.70957446808511,0.23414728101525883,1.0,36864,6144,18432,3072,0,15
synthetic_unet_trace,trace_conv_019,conv,1 32 32 128 64 3 1 1,8001,42850,45.58510638297872,0.1867211201866978,1.0,18432,36864,2304,1024,256,64
synthetic_unet_trace,trace_gemm_009,gemm,1024 64 512,6802,33983,36.15212765957447,0.20015890298090222,1.0,8192,2048,1024,8192,0,15
synthetic_unet_trace,trace_conv_004,conv,1 32 32 64 64 3 1 1,6796,24418,25.97659574468085,0.2783192726677042,1.0,9216,18432,1152,1024,256,64
synthetic_unet_trace,trace_conv_021,conv,1 32 32 64 4 3 1 1,6246,20961,22.298936170212766,0.2979819665092314,0.125,4608,18432,72,64,128,0
synthetic_unet_trace,trace_gemm_010,gemm,1024 256 64,3611,11427,12.156382978723403,0.3160059508182375,1.0,4096,8192,512,1024,0,1
synthetic_unet_trace,trace_conv_017,conv,1 16 16 128 64 3 1 1,2877,10738,11.423404255319149,0.26792698826597133,1.0,4608,9216,2304,256,64,16
synthetic_unet_trace,trace_gemm_015,gemm,256 64 512,2131,8639,9.190425531914894,0.24667206852644982,1.0,2048,512,1024,2048,0,15
synthetic_unet_trace,trace_conv_020,conv,1 32 32 128 64 1 1 0,2206,7394,7.865957446808511,0.2983500135244793,1.0,2048,4096,256,1024,0,64
synthetic_unet_trace,trace_conv_003,conv,1 32 32 4 64 3 1 1,6118,7138,7.593617021276596,0.8571028299243486,0.5625,1024,1152,72,1024,256,64
synthetic_unet_trace,trace_conv_011,conv,1 32 32 64 64 3 2 1,2745,6130,6.5212765957446805,0.44779771615008157,1.0,2304,4608,1152,256,64,16
synthetic_unet_trace,trace_conv_012,conv,1 16 16 64 64 3 1 1,2292,6130,6.5212765957446805,0.3738988580750408,1.0,2304,4608,1152,256,64,16
synthetic_unet_trace,trace_conv_006,conv,1 32 32 64 64 1 1 0,2117,5346,5.687234042553191,0.3959970071081182,1.0,1024,2048,128,1024,0,64
