op_id,module_name,operator,batch,h_or_m,w_or_k,in_channels_or_features,out_channels_or_features,kernel,stride,padding,pytorchsim_shape_args,note
op_00000,time_embedding.linear_1,gemm,1,1,64,64,256,1,1,0,1 64 256,Linear is mapped to GEMM M K N.
op_00001,time_embedding.linear_2,gemm,1,1,256,256,256,1,1,0,1 256 256,Linear is mapped to GEMM M K N.
op_00002,conv_in,conv,1,32,32,4,64,3,1,1,1 32 32 4 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.
op_00003,down_blocks.0.resnets.0.conv1,conv,1,32,32,64,64,3,1,1,1 32 32 64 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.
op_00004,down_blocks.0.resnets.0.time_emb_proj,gemm,1,1,256,256,64,1,1,0,1 256 64,Linear is mapped to GEMM M K N.
op_00005,down_blocks.0.resnets.0.conv2,conv,1,32,32,64,64,3,1,1,1 32 32 64 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.
op_00006,down_blocks.0.attentions.0.proj_in,conv,1,32,32,64,64,1,1,0,1 32 32 64 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.
op_00007,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1,1024,64,64,64,1,1,0,1024 64 64,Linear is mapped to GEMM M K N.
op_00008,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,gemm,1,1024,64,64,64,1,1,0,1024 64 64,Linear is mapped to GEMM M K N.
op_00009,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,gemm,1,1024,64,64,64,1,1,0,1024 64 64,Linear is mapped to GEMM M K N.
op_00010,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,gemm,1,1024,64,64,64,1,1,0,1024 64 64,Linear is mapped to GEMM M K N.
op_00011,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,gemm,1,1024,64,64,64,1,1,0,1024 64 64,Linear is mapped to GEMM M K N.
op_00012,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,1,77,768,768,64,1,1,0,77 768 64,Linear is mapped to GEMM M K N.
op_00013,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,gemm,1,77,768,768,64,1,1,0,77 768 64,Linear is mapped to GEMM M K N.
op_00014,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,gemm,1,1024,64,64,64,1,1,0,1024 64 64,Linear is mapped to GEMM M K N.
op_00015,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1,1024,64,64,512,1,1,0,1024 64 512,Linear is mapped to GEMM M K N.
op_00016,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1,1024,256,256,64,1,1,0,1024 256 64,Linear is mapped to GEMM M K N.
op_00017,down_blocks.0.attentions.0.proj_out,conv,1,32,32,64,64,1,1,0,1 32 32 64 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.
op_00018,down_blocks.0.downsamplers.0.conv,conv,1,32,32,64,64,3,2,1,1 32 32 64 64 3 2 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.
