id,workload,stage,operator,shape_args,shape_desc,reason,max_expected_runtime_s,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status
trace_gemm_001,Synthetic_UNet2DCondition_trace,time_embedding.linear_1,gemm,1 64 256,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_001.log,1,623,623,0.6627659574468086,4.666201,120.9,0.16,2.57,157,2240,264,ok
trace_gemm_002,Synthetic_UNet2DCondition_trace,time_embedding.linear_2,gemm,1 256 256,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_002.log,1,1101,1101,1.171276595744681,5.217135,252.44,0.18,1.45,579,8976,264,ok
trace_conv_003,Synthetic_UNet2DCondition_trace,conv_in,conv,1 32 32 4 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_003.log,1,6118,6118,6.508510638297873,4.141812,71.01,75.32,2.75,1002,6250,8192,ok
trace_conv_004,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_004.log,1,6796,6796,7.229787234042553,5.341181,172.46,67.8,2.18,2483,30771,8192,ok
trace_gemm_005,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_005.log,1,656,656,0.6978723404255319,4.472764,108.95,0.15,1.07,149,2312,64,ok
trace_conv_006,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_006.log,1,2117,2117,2.252127659574468,4.136857,247.35,24.185000000000002,7.27,1088,9216,8192,ok
trace_gemm_007,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_007.log,1,1804,1804,1.9191489361702128,4.110266,290.26,28.38,8.09,1088,9216,8192,ok
trace_gemm_008,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_008.log,1,1694,1694,1.8021276595744682,7.187293,258.25,13.635,1.59,909,13904,640,ok
trace_gemm_009,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_009.log,1,6802,6802,7.236170212765957,6.745598,362.27,30.11,8.41,5120,16384,65536,ok
trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_010.log,1,3611,3611,3.8414893617021275,4.558707,375.32,28.36,4.04,2816,36864,8192,ok
