id,workload,stage,operator,shape_args,shape_desc,reason,max_expected_runtime_s,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status,rtl_compute_cycles,rtl_weight_load_cycles,rtl_activation_load_cycles,rtl_output_store_cycles,rtl_config_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles,rtl_total_cycles,rtl_latency_us,rtl_useful_macs,rtl_padded_macs,rtl_compute_utilization,rtl_m_blocks,rtl_k_blocks,rtl_n_blocks,rtl_model_note,rtl_speedup_vs_pytorchsim_baseline
trace_gemm_001,Synthetic_UNet2DCondition_trace,time_embedding.linear_1,gemm,1 64 256,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_001.log,1,623,623,0.6627659574468086,4.666201,120.9,0.16,2.57,157,2240,264,ok,64,512,2,8,40,0,7,567,0.6031914893617021,16384,262144,0.0625,1,2,8,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,1.0987654320987654
trace_gemm_002,Synthetic_UNet2DCondition_trace,time_embedding.linear_2,gemm,1 256 256,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_002.log,1,1101,1101,1.171276595744681,5.217135,252.44,0.18,1.45,579,8976,264,ok,256,2048,8,8,40,0,7,2103,2.2372340425531916,65536,1048576,0.0625,1,8,8,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.5235378031383737
trace_conv_003,Synthetic_UNet2DCondition_trace,conv_in,conv,1 32 32 4 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_003.log,1,6118,6118,6.508510638297873,4.141812,71.01,75.32,2.75,1002,6250,8192,ok,1024,72,1152,2048,34,256,64,3554,3.7808510638297874,2359296,4194304,0.5625,64,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,1.7214406302757457
trace_conv_004,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_004.log,1,6796,6796,7.229787234042553,5.341181,172.46,67.8,2.18,2483,30771,8192,ok,9216,1152,18432,2048,34,256,64,20834,22.163829787234043,37748736,37748736,1.0,64,18,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.3261975616780263
trace_gemm_005,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_005.log,1,656,656,0.6978723404255319,4.472764,108.95,0.15,1.07,149,2312,64,ok,64,512,8,2,34,0,1,549,0.5840425531914893,16384,262144,0.0625,1,8,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,1.1948998178506376
trace_conv_006,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_006.log,1,2117,2117,2.252127659574468,4.136857,247.35,24.185000000000002,7.27,1088,9216,8192,ok,1024,128,2048,2048,34,0,64,4194,4.461702127659574,4194304,4194304,1.0,64,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.5047687172150691
trace_gemm_007,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_007.log,1,1804,1804,1.9191489361702128,4.110266,290.26,28.38,8.09,1088,9216,8192,ok,1024,128,2048,2048,34,0,1,4131,4.39468085106383,4194304,4194304,1.0,64,2,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.4366981360445413
trace_gemm_008,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_008.log,1,1694,1694,1.8021276595744682,7.187293,258.25,13.635,1.59,909,13904,640,ok,960,1536,1848,154,34,0,1,2037,2.1670212765957446,3784704,3932160,0.9625,5,24,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.8316151202749141
trace_gemm_009,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_009.log,1,6802,6802,7.236170212765957,6.745598,362.27,30.11,8.41,5120,16384,65536,ok,8192,1024,2048,16384,48,0,15,24767,26.347872340425532,33554432,33554432,1.0,64,2,16,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.2746396414583922
trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_010.log,1,3611,3611,3.8414893617021275,4.558707,375.32,28.36,4.04,2816,36864,8192,ok,4096,512,8192,2048,34,0,1,10275,10.930851063829786,16777216,16777216,1.0,64,8,2,derived from FLOOD Config.scala and Tile/CIMCore structure; excludes unimplemented outlier/softmax features,0.3514355231143552
