id,workload,stage,operator,shape_args,baseline_cycles,baseline_latency_us,estimated_flood_cycles,estimated_flood_latency_us,estimated_speedup,compute_speedup_assumption,metadata_cycles,outlier_cycles,switch_cycles,note
trace_gemm_001,Synthetic_UNet2DCondition_trace,time_embedding.linear_1,gemm,1 64 256,623,0.6627659574468086,502,0.5340425531914894,1.2410358565737052,1.2,12.46,15.58,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_002,Synthetic_UNet2DCondition_trace,time_embedding.linear_2,gemm,1 256 256,1101,1.171276595744681,880,0.9361702127659575,1.2511363636363637,1.2,22.02,27.53,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_003,Synthetic_UNet2DCondition_trace,conv_in,conv,1 32 32 4 64 3 1 1,6118,6.508510638297873,5073,5.396808510638298,1.205992509363296,1.15,183.54,122.36,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_004,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,6796,7.229787234042553,5634,5.993617021276596,1.2062477813276535,1.15,203.88,135.92,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_005,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,656,0.6978723404255319,528,0.5617021276595745,1.2424242424242424,1.2,13.12,16.4,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_006,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,2117,2.252127659574468,1762,1.874468085106383,1.2014755959137344,1.15,63.51,42.34,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_007,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,1804,1.9191489361702128,1436,1.5276595744680852,1.256267409470752,1.2,36.08,45.1,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_008,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,1694,1.8021276595744682,1349,1.4351063829787234,1.2557449962935507,1.2,33.88,42.35,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_009,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,6802,7.236170212765957,5386,5.729787234042553,1.2629038247307836,1.2,136.04,170.05,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,3611,3.8414893617021275,2864,3.046808510638298,1.2608240223463687,1.2,72.22,90.28,10,initial FLOOD post-processing estimate; replace assumptions before paper use
