id	workload	stage	operator	shape_args	shape_desc	reason	max_expected_runtime_s
trace_gemm_001	Synthetic_UNet2DCondition_trace	time_embedding.linear_1	gemm	1 64 256	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_gemm_002	Synthetic_UNet2DCondition_trace	time_embedding.linear_2	gemm	1 256 256	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_conv_003	Synthetic_UNet2DCondition_trace	conv_in	conv	1 32 32 4 64 3 1 1	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_conv_004	Synthetic_UNet2DCondition_trace	down_blocks.0.resnets.0.conv1	conv	1 32 32 64 64 3 1 1	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_gemm_005	Synthetic_UNet2DCondition_trace	down_blocks.0.resnets.0.time_emb_proj	gemm	1 256 64	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_conv_006	Synthetic_UNet2DCondition_trace	down_blocks.0.attentions.0.proj_in	conv	1 32 32 64 64 1 1 0	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_gemm_007	Synthetic_UNet2DCondition_trace	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q	gemm	1024 64 64	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_gemm_008	Synthetic_UNet2DCondition_trace	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k	gemm	77 768 64	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_gemm_009	Synthetic_UNet2DCondition_trace	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj	gemm	1024 64 512	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_gemm_010	Synthetic_UNet2DCondition_trace	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2	gemm	1024 256 64	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_conv_011	Synthetic_UNet2DCondition_trace	down_blocks.0.downsamplers.0.conv	conv	1 32 32 64 64 3 2 1	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_conv_012	Synthetic_UNet2DCondition_trace	down_blocks.1.resnets.0.conv1	conv	1 16 16 64 64 3 1 1	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_conv_013	Synthetic_UNet2DCondition_trace	mid_block.attentions.0.proj_in	conv	1 16 16 64 64 1 1 0	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_gemm_014	Synthetic_UNet2DCondition_trace	mid_block.attentions.0.transformer_blocks.0.attn1.to_q	gemm	256 64 64	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_gemm_015	Synthetic_UNet2DCondition_trace	mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj	gemm	256 64 512	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_gemm_016	Synthetic_UNet2DCondition_trace	mid_block.attentions.0.transformer_blocks.0.ff.net.2	gemm	256 256 64	Linear is mapped to GEMM M K N.	unique shape traced from synthetic UNet forward	300
trace_conv_017	Synthetic_UNet2DCondition_trace	up_blocks.0.resnets.0.conv1	conv	1 16 16 128 64 3 1 1	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_conv_018	Synthetic_UNet2DCondition_trace	up_blocks.0.resnets.0.conv_shortcut	conv	1 16 16 128 64 1 1 0	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_conv_019	Synthetic_UNet2DCondition_trace	up_blocks.1.resnets.0.conv1	conv	1 32 32 128 64 3 1 1	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_conv_020	Synthetic_UNet2DCondition_trace	up_blocks.1.resnets.0.conv_shortcut	conv	1 32 32 128 64 1 1 0	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
trace_conv_021	Synthetic_UNet2DCondition_trace	conv_out	conv	1 32 32 64 4 3 1 1	Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.	unique shape traced from synthetic UNet forward	300
