id,workload,stage,operator,shape_args,shape_desc,reason,max_expected_runtime_s
gemm_001_op_00000,SD15_UNet_trace,time_embedding.linear_1,gemm,1 64 256,Linear is mapped to GEMM M K N.,traced from real UNet forward pass,300
gemm_002_op_00001,SD15_UNet_trace,time_embedding.linear_2,gemm,1 256 256,Linear is mapped to GEMM M K N.,traced from real UNet forward pass,300
conv_001_op_00002,SD15_UNet_trace,conv_in,conv,1 32 32 4 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,traced from real UNet forward pass,300
conv_002_op_00003,SD15_UNet_trace,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,traced from real UNet forward pass,300
gemm_003_op_00004,SD15_UNet_trace,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,Linear is mapped to GEMM M K N.,traced from real UNet forward pass,300
conv_003_op_00005,SD15_UNet_trace,down_blocks.0.resnets.0.conv2,conv,1 32 32 64 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,traced from real UNet forward pass,300
conv_004_op_00006,SD15_UNet_trace,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,traced from real UNet forward pass,300
gemm_004_op_00007,SD15_UNet_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,Linear is mapped to GEMM M K N.,traced from real UNet forward pass,300
gemm_005_op_00008,SD15_UNet_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,gemm,1024 64 64,Linear is mapped to GEMM M K N.,traced from real UNet forward pass,300
gemm_006_op_00009,SD15_UNet_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,gemm,1024 64 64,Linear is mapped to GEMM M K N.,traced from real UNet forward pass,300
gemm_007_op_00010,SD15_UNet_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,gemm,1024 64 64,Linear is mapped to GEMM M K N.,traced from real UNet forward pass,300
